heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.25432797128540985,0.2687136516308431,11108.386872841875,5569.700410038426,36936.85,30502.28732848825
Yok,26,0.2134603622808872,0.1758951370077424,6927.12221486365,6211.059388802081,34610.45115384615,33780.62821733544
Doğalgaz Sobası,45,0.18313274801624443,0.16193894411154158,5555.273819692248,4059.9795572642543,29016.16688888889,27967.51970978457
Klima,7,0.1375429194012628,0.0960471155689444,4617.097172429717,3639.2362876052357,32086.58714285714,31368.229110635006
Kombi (Elektrik),12,0.1369772768405785,0.13845308802784187,6083.795279041468,5335.360868172174,39483.42083333334,38373.8374597779
Kombi (Doğalgaz),3871,0.12882180757361456,0.10170079260722523,4568.115546774999,3541.8468567968303,36411.337104107464,36235.41355690478
,18,0.1267172854471139,0.12118225355512881,5404.270376030948,5052.86657939931,42992.14388888889,41464.61115876891
Kat Kaloriferi,26,0.12499685848376284,0.11250771992524133,4309.099168135616,4193.998059431578,35067.71076923077,35245.69712718564
Merkezi,209,0.12154568438724823,0.0932646645973602,4414.305876641622,3693.213997474464,37981.59133971292,37117.34552759873
VRV,2,0.11291678405564126,0.11291678405564126,8772.37118323156,8772.37118323156,71051.59,64733.09582030207
Merkezi (Pay Ölçer),331,0.10516872504001855,0.07115502326743389,4882.556214278966,2960.2738340139767,45494.26628398792,44729.22460292108
Yerden Isıtma,2115,0.09612815100184637,0.0749235984656014,3983.384783755057,2929.301475002918,40547.94645390071,39947.32716825079
