room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
6+2,2,9.5,9.5,0,0,0.832856165480155,34615.38
5+2,7,8.285714285714286,7.0,0,0,0.8477764196661297,30521.02142857143
Stüdyo (1+0),14,8.071428571428571,7.0,0,0,1.2442838183336347,63090.70428571429
1.5+1,7,7.0,5.0,0,0,1.172706682838749,44694.17142857143
4.5+2,1,7.0,7.0,0,0,1.4241020422960458,62500.0
6+3,1,7.0,7.0,0,0,0.8253945197165674,25757.58
7+1,1,7.0,7.0,0,0,0.9947217207847234,31041.67
3+0,2,6.5,6.5,0,0,0.989531204014642,32567.31
6+1,10,5.9,7.0,0,0,0.8710831856624122,37903.004
4+2,23,5.565217391304348,7.0,0,0,0.9265516426562189,31348.985217391306
3+2,11,5.545454545454546,5.0,0,0,0.9016976618240872,31216.80818181818
3.5+1,15,5.466666666666667,5.0,0,0,1.124144271865103,40512.062666666665
5+1,56,5.214285714285714,7.0,0,0,0.8743138145183083,35885.91071428572
5.5+1,3,5.0,7.0,0,0,0.8212322536761619,31615.309999999998
2+0,1,5.0,5.0,0,0,0.7476085237654206,33125.0
4.5+1,11,4.818181818181818,5.0,0,0,1.030185288638294,37813.62454545454
4+1,588,2.877551020408163,0.0,0,0,0.9689163743719901,36239.4018707483
2.5+1,13,2.6923076923076925,0.0,0,0,0.9794973978869749,39644.58384615385
1+1,417,2.513189448441247,0.0,0,0,1.0684578672939513,46893.92798561151
3+1,3028,2.3738441215323647,0.0,2,0,0.9837201310057573,36975.068873844124
2+1,2452,2.3013866231647633,0.0,3,0,1.002930047562853,38679.249004893965
2+2,4,1.25,0.0,0,0,1.0601786416818795,42830.542499999996
