district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.8565387478017837,16111.082707552607
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5290345700573543,14372.107583340025
4 Temmuz Mah.,4,76-100,1,0.45795429697928725,14816.167892913061
Kayacık Mh.,26-30 arası,200+,2,0.4373393367794357,26481.406839334268
Kayacık Mh.,31 ve üzeri,126-150,1,0.4293883470430985,10019.059999711142
4 Temmuz Mah.,21-25 arası,126-150,1,0.4176791703529367,8508.279241382352
Dereköy Mh.,11-15 arası,200+,1,0.4097205886272645,17091.203452968413
Ereğli Mh.,16-20 arası,101-125,1,0.37632233664341375,10988.61222998768
Dereköy Mh.,11-15 arası,76-100,1,0.358894125864625,9570.511219370419
Kayacık Mh.,3,126-150,1,0.33356540339769614,24375.932298861168
Avcıköy Mh.,21-25 arası,76-100,1,0.3232671247800245,16522.54157401556
Kayacık Mh.,2,151-200,1,0.32238842859710576,23230.929746361697
4 Temmuz Mah.,21-25 arası,101-125,4,0.3059233595186096,7341.22808651664
4 Temmuz Mah.,1,0-75,1,0.30079628896546,20654.679511615883
4 Temmuz Mah.,4,200+,1,0.30074647908693286,10626.374591916698
Kayacık Mh.,11-15 arası,200+,3,0.2983007701548395,10740.026194546468
Yalakdere Mh.,16-20 arası,101-125,1,0.29688117696054406,16598.356441992983
Tepeköy Mh.,6-10 arası,151-200,1,0.29205935380691284,17940.788459482712
Dereköy Mh.,16-20 arası,126-150,1,0.2855157865708336,7241.342744061185
Ereğli Mh.,21-25 arası,0-75,2,0.27871284049656386,18304.235390622765
Kayacık Mh.,6-10 arası,200+,1,0.2754473101909766,9534.713312238528
Kayacık Mh.,16-20 arası,126-150,2,0.27505926529720237,8476.491747311933
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.2723368057492035,17474.945943363244
Kayacık Mh.,31 ve üzeri,76-100,4,0.2721943183204948,9256.791702768494
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.26264452668690635,7764.711110246591
Kayacık Mh.,21-25 arası,76-100,2,0.2606623396969494,10389.57394339227
Kayacık Mh.,16-20 arası,151-200,3,0.25590770841132043,10782.527739425534
Kayacık Mh.,6-10 arası,76-100,2,0.24461653633015507,11437.951354579214
4 Temmuz Mah.,26-30 arası,76-100,5,0.2435051734846379,7653.271122459182
4 Temmuz Mah.,5,101-125,1,0.2420013734833264,13108.408537018091
Ereğli Mh.,31 ve üzeri,101-125,1,0.2346235449409241,10792.683067282509
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.23274302724889584,11691.229098931748
4 Temmuz Mah.,6-10 arası,151-200,6,0.2318587990657053,10811.313415392297
4 Temmuz Mah.,4,151-200,1,0.22669677827298937,7934.387239554628
Dereköy Mh.,11-15 arası,151-200,1,0.22358686581912718,6058.481878121751
Kayacık Mh.,5,0-75,1,0.21354896320988534,14236.598259155566
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.2099522766856133,7626.828085696922
Kayacık Mh.,11-15 arası,151-200,3,0.20189805652245316,7027.076485948557
