m2_group,n,mape,mae
200+,23,0.22375076020451987,8394.85433830612
126-150,65,0.17004376536303306,5731.969769969905
101-125,89,0.15119517088421053,5536.3505547335235
76-100,83,0.14992310287139962,5871.504767994037
0-75,23,0.14656471916781905,7709.570248693705
151-200,45,0.1461799900507933,6634.798470322463
