district,n,mape,mae
Avcıköy Mh.,1,0.3232671247800245,16522.54157401556
Yalakdere Mh.,1,0.29688117696054406,16598.356441992983
Dereköy Mh.,12,0.22927492680011563,6394.979171924064
Tepeköy Mh.,5,0.22068919970869905,8837.272684308535
4 Temmuz Mah.,166,0.1585715269225147,5526.529244959981
Kayacık Mh.,113,0.15749609249716637,6923.257426217061
Ereğli Mh.,30,0.11511209100882852,5594.562383393824
