site_project_id,n,mean_actual,mean_pred,mean_residual
kartepe::emlakcim41_kent,1,41390.13,32447.68673788204,-8942.443262117959
golcuk::hisar,1,42000.0,33201.0792606665,-8798.920739333502
izmit::yahyakaptan_armada_kent,1,78620.69,69876.99429561652,-8743.695704383485
basiskele::yagmurkent,1,57692.31,49005.988814843964,-8686.321185156034
izmit::sehir_h_karsisi,1,46666.67,38017.05454545053,-8649.615454549465
izmit::cepni_corner_park,1,49500.0,40863.15722871886,-8636.842771281139
kartepe::kartepe_fsm_bahcesehir_koleji_yakini_gulas,1,49818.18,41217.73888105318,-8600.441118946823
izmit::aslantas_plus,1,55128.21,46691.124783235995,-8437.085216764004
izmit::seka_memur,1,30384.62,22000.55745027279,-8384.062549727209
golcuk::olkar_sakli_vadi_konagi,1,46428.57,38074.13462135486,-8354.43537864514
izmit::terrace_yahyakaptan,4,59150.2025,50820.148681617546,-8330.053818382456
izmit::karabas_mah_kent,1,32727.27,24450.3889080383,-8276.881091961699
izmit::erenler_cedit,4,45101.475,36865.686279722846,-8235.788720277156
basiskele::zeray_korupark,6,49349.613333333335,41116.611407546676,-8233.001925786657
izmit::kent_tuana,2,62504.395000000004,54340.54802187462,-8163.846978125381
izmit::sea_life,2,63651.315,55572.95230724927,-8078.362692750732
izmit::kurucesme_doktorlar,1,47368.42,39297.31873773695,-8071.1012622630515
kartepe::yagmur_dan,1,46551.72,38508.9577610526,-8042.762238947398
kartepe::my_world_kartepe,1,57692.31,49691.50503155286,-8000.804968447141
kartepe::green_life_1,1,54814.81,46836.93582643366,-7977.874173566335
izmit::fnd_smart_side_2,1,52307.69,44388.761785260416,-7918.928214739586
basiskele::parla_100_yil,3,49074.073333333334,41188.53408914513,-7885.539244188204
golcuk::sirinkent_kalici_konutlari_19_ada,1,38333.33,30451.362079921542,-7881.967920078459
izmit::gundogduda,1,47142.86,39291.24756324324,-7851.612436756761
kartepe::ekomax_dan_e_gazi_asansrlu_havzlu,1,46333.33,38486.408585617384,-7846.9214143826175
basiskele::kolayli_karsiyaka,1,42424.24,34642.22522190974,-7782.014778090255
basiskele::anatolia,1,45112.78,37341.967279309545,-7770.812720690454
izmit::alikahya_kavanium,1,52000.0,44434.95772721969,-7565.042272780309
izmit::kabaoglu_havuzlu,1,57500.0,50030.667011696554,-7469.332988303446
kartepe::zeray_forum_anatolia,1,40357.14,32942.783498128134,-7414.3565018718655
izmit::plajyolu_avangard,1,62416.67,55037.71773653479,-7378.952263465209
izmit::turkuaz_park,2,60823.53,53463.85909752941,-7359.670902470589
izmit::invest_global_den_yesilova_alfa,1,69090.91,61778.83494174258,-7312.075058257426
izmit::zeray_dora_hill,8,60618.04625,53406.042744543396,-7212.0035054566015
izmit::sahilkent,1,40460.53,33401.39244088081,-7059.13755911919
basiskele::twinkle_life,3,47867.42333333333,40829.39322733973,-7038.0301059936
kartepe::zaferan,3,52711.48,45684.75718020157,-7026.722819798434
izmit::yesilova_liva_park,1,61475.41,54479.57426905696,-6995.835730943043
basiskele::basiskele_vadi,1,41842.11,34856.75019510032,-6985.359804899679
basiskele::egimsiz,2,55861.245,48885.36597631162,-6975.87902368838
kartepe::gokbal_sirius,1,48222.22,41249.19689486004,-6973.0231051399605
kartepe::guldeste_sitesi_7,1,41346.15,34473.57504998953,-6872.574950010472
izmit::ata,1,60416.67,53671.83900389224,-6744.830996107761
basiskele::manar_yuvacik_2,1,44636.02,37892.40971006572,-6743.610289934273
kartepe::pakmaya_deprem,1,45500.0,38781.57993090072,-6718.42006909928
kartepe::my_life_kartepe,3,55712.329999999994,49025.60766926338,-6686.722330736618
basiskele::havuzlu,1,55625.0,48952.14357109765,-6672.856428902349
golcuk::topcular_mh_ronesans,1,48076.92,41464.21508985752,-6612.704910142478
kartepe::atakent_evleri_152_ada,3,40550.723333333335,33977.79694264265,-6572.926390690688
golcuk::versay_lilyum_park,1,49999.99,43442.97770473496,-6557.0122952650345
golcuk::rakicioglu_sitesi_2,3,35334.920000000006,28855.33869982009,-6479.581300179908
golcuk::altinsehir,3,43083.54666666667,36606.650693009935,-6476.895973656734
kartepe::beykent_konaklari,1,43548.39,37143.70316027643,-6404.686839723567
basiskele::bahama_insaat,1,48913.04,42557.73443777775,-6355.305562222253
izmit::izmit_kavanium_sit,1,55486.11,49140.160429329204,-6345.949570670797
golcuk::ciftlik_mahallesi_nde,1,46500.0,40232.579913698944,-6267.420086301056
basiskele::bahcecik_kalici_konutlar,1,35000.0,28914.388181061484,-6085.611818938516
izmit::bagcesme_konaklari,1,60833.33,54809.828829150436,-6023.501170849566
karamursel::ulu_cami_yakininda,1,52400.0,46390.735257571076,-6009.264742428924
izmit::cinar_vadisi_konaklari,1,45833.33,39872.15023618412,-5961.179763815882
basiskele::garden,1,40882.35,34968.54333771947,-5913.806662280527
izmit::sehir_hastanesi_karsisi_sarkent,1,41818.18,35909.867902832724,-5908.312097167276
basiskele::altinkent_kalici_konutlari_7_ada,1,34782.61,28949.683531414787,-5832.926468585214
basiskele::panoramakent_4,3,51607.69,45848.06048237082,-5759.629517629172
