site_project_id,n,mean_actual,mean_pred,mean_residual
izmit::listing_portal_yelkent_tetra,1,47058.82,38182.810512580516,-8876.009487419484
izmit::cepni_corner_park,1,49500.0,40785.66510576551,-8714.33489423449
izmit::plajyolunda,2,68550.42,59862.22964996137,-8688.190350038632
izmit::kore,1,44736.84,36097.10957298373,-8639.730427016264
golcuk::hisar,1,42000.0,33361.57676534346,-8638.42323465654
izmit::karabas_mah_kent,1,32727.27,24090.61891683878,-8636.651083161221
karamursel::gizli_bahce,1,44615.38,36017.45535597793,-8597.924644022067
izmit::erenler_cedit,4,45101.475,36536.620112526696,-8564.854887473306
izmit::sehir_h_karsisi,1,46666.67,38136.689629668974,-8529.980370331024
basiskele::zeray_korupark,6,49349.613333333335,40901.188142027786,-8448.42519130555
izmit::seka_memur,1,30384.62,21963.133172186477,-8421.486827813522
golcuk::olkar_sakli_vadi_konagi,1,46428.57,38015.39433493896,-8413.17566506104
izmit::aslantas_plus,1,55128.21,46869.47436655234,-8258.735633447657
basiskele::anatolia,1,45112.78,36881.11497923027,-8231.665020769731
kartepe::ekomax_dan_e_gazi_asansrlu_havzlu,1,46333.33,38137.18736962421,-8196.14263037579
izmit::fnd_smart_side_2,1,52307.69,44161.8130775643,-8145.876922435702
izmit::zeray_dora_hill,8,60618.04625,52525.019933849035,-8093.0263161509665
izmit::kent_tuana,2,62504.395000000004,54459.948517818964,-8044.446482181036
kartepe::green_life_1,1,54814.81,46797.61780935606,-8017.192190643938
izmit::yahyakaptan_armada_kent,1,78620.69,70624.82736330909,-7995.862636690916
basiskele::parla_100_yil,3,49074.073333333334,41110.77892766846,-7963.294405664868
izmit::sea_life,2,63651.315,55720.18161231617,-7931.133387683833
izmit::kurucesme_doktorlar,1,47368.42,39484.773858130065,-7883.646141869933
basiskele::kolayli_karsiyaka,1,42424.24,34570.3770524357,-7853.862947564296
izmit::kabaoglu_havuzlu,1,57500.0,49659.36066106045,-7840.6393389395525
kartepe::yagmur_dan,1,46551.72,38730.38881386553,-7821.33118613447
kartepe::zeray_forum_anatolia,1,40357.14,32593.117362649125,-7764.022637350874
kartepe::my_world_kartepe,1,57692.31,49981.04315298898,-7711.266847011015
golcuk::sirinkent_kalici_konutlari_19_ada,1,38333.33,30625.95884377101,-7707.37115622899
kartepe::guckat_life,1,46875.0,39208.85012195175,-7666.149878048251
izmit::yesilova_liva_park,1,61475.41,53876.29033112178,-7599.119668878222
izmit::gundogduda,1,47142.86,39831.35912979733,-7311.500870202668
golcuk::versay_lilyum_park,1,49999.99,42709.96975401587,-7290.020245984131
kartepe::zaferan,3,52711.48,45491.84897596639,-7219.63102403361
kartepe::gokbal_sirius,1,48222.22,41004.1893421535,-7218.030657846502
izmit::turkuaz_park,2,60823.53,53642.30957802504,-7181.220421974962
izmit::sahilkent,1,40460.53,33361.85488372229,-7098.675116277707
basiskele::twinkle_life,3,47867.42333333333,40858.81393265818,-7008.609400675155
kartepe::guldeste_sitesi_7,1,41346.15,34376.36960119397,-6969.780398806033
basiskele::basiskele_vadi,1,41842.11,34909.84258063885,-6932.267419361153
basiskele::havuzlu,1,55625.0,48804.42944775379,-6820.5705522462085
basiskele::manar_yuvacik_2,1,44636.02,37825.410493257485,-6810.609506742512
kartepe::atakent_evleri_152_ada,3,40550.723333333335,33857.4058171733,-6693.3175161600375
izmit::semt,7,56511.99571428571,49880.504437223404,-6631.491277062313
kartepe::pakmaya_deprem,1,45500.0,38944.95687641839,-6555.043123581607
basiskele::egimsiz,2,55861.245,49336.80106043351,-6524.443939566496
golcuk::altinsehir,3,43083.54666666667,36573.61211445303,-6509.934552213633
izmit::alikahya_kavanium,1,52000.0,45496.82729299708,-6503.172707002923
golcuk::rakicioglu_sitesi_2,3,35334.920000000006,28850.480733503256,-6484.439266496741
izmit::invest_global_den_yesilova_alfa,1,69090.91,62642.44960531262,-6448.460394687383
kartepe::my_life_kartepe,3,55712.329999999994,49316.20269098051,-6396.127309019484
izmit::ata,1,60416.67,54036.76456988852,-6379.905430111481
izmit::cinar_vadisi_konaklari,1,45833.33,39488.82788473263,-6344.502115267373
basiskele::bahcecik_kalici_konutlar,1,35000.0,28675.86333507098,-6324.136664929021
kartepe::beykent_konaklari,1,43548.39,37247.136838029444,-6301.253161970555
karamursel::ulu_cami_yakininda,1,52400.0,46126.57187797381,-6273.428122026191
izmit::plajyolu_avangard,1,62416.67,56213.978677495405,-6202.691322504594
golcuk::degirmendere_de_deniz_manzarali_havuzlu,1,46666.67,40464.06725054815,-6202.602749451849
izmit::izmit_kavanium_sit,1,55486.11,49293.180253057246,-6192.929746942755
basiskele::asrin,3,43359.79,37267.806339866635,-6091.983660133366
golcuk::ciftlik_mahallesi_nde,1,46500.0,40447.63214955061,-6052.367850449387
izmit::fnd_smart_side,1,51666.67,45668.34342495126,-5998.326575048741
izmit::oluklu_ozon,2,55113.634999999995,49166.55150171043,-5947.083498289565
golcuk::topcular_mh_ronesans,1,48076.92,42226.03392880346,-5850.886071196539
basiskele::altinkent_kalici_konutlari_7_ada,1,34782.61,28940.142233184873,-5842.467766815127
basiskele::bahama_insaat,1,48913.04,43149.25473714318,-5763.785262856822
basiskele::panoramakent_4,3,51607.69,45845.436001008035,-5762.253998991965
kartepe::effect_kartepe,2,52536.78,46795.667983676394,-5741.112016323605
basiskele::garden,1,40882.35,35176.14961199024,-5706.200388009762
basiskele::rozna,1,48588.79,42896.313309574245,-5692.476690425756
basiskele::loca_torunoglu,1,45588.24,39909.410657334505,-5678.829342665493
basiskele::teras_marmara,4,44314.6625,38664.22175365759,-5650.440746342407
izmit::bagcesme_konaklari,1,60833.33,55202.11789573241,-5631.2121042675935
