room_count,n,mape,mae
4.5+1,1,0.88992629311847,16739.086408937725
4.5+2,1,0.3669303654798742,22933.147842492137
6+2,1,0.28418286557667766,9837.097881425616
5+2,1,0.23796945934590913,7204.154149340819
2.5+1,1,0.21545155466168983,7710.896952017909
4+2,6,0.19931536653614643,7240.168291918824
3+2,2,0.17110279842458376,7763.171571791496
4+1,27,0.1700703832013504,7595.417075901495
3+1,141,0.16483708698185126,5840.768252644844
1+1,13,0.1640613290105747,8250.866388021102
5+1,8,0.1632764805275125,6850.2938603660805
2+1,118,0.1427017843941891,5860.845277894392
5.5+1,1,0.10708603293807523,3859.5594607632374
3.5+1,3,0.07263801011155598,2271.9334629904065
6+1,3,0.06865707883196943,2308.0601355672225
2+2,1,0.05310856781786051,2312.7926236736384
