heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.2509869196834103,0.26258260126533733,10934.73811440621,5647.091414632021,36936.85,30709.865091773936
Yok,26,0.2171436849979738,0.182372162166537,7051.568030064508,6295.463626371737,34610.45115384615,33710.4899596092
Doğalgaz Sobası,45,0.18300581870196742,0.16215361120749072,5561.472839758041,3945.7915971404436,29016.16688888889,27979.49700990634
Kombi (Elektrik),12,0.1424087010423896,0.1555035972530887,6338.739451165523,5576.237945831039,39483.42083333334,38388.08376308226
Klima,7,0.1401886198443476,0.09637448375211258,4696.2057531602495,3721.080815196685,32086.58714285714,31387.521145143197
,18,0.13089157986496663,0.11897837300750341,5577.9124250176055,5032.852200862504,42992.14388888889,41403.96267801908
Kombi (Doğalgaz),3871,0.12946887211729857,0.10281168484753928,4593.621729807184,3551.1529045062343,36411.337104107464,36236.25472619776
Kat Kaloriferi,26,0.12370724144179736,0.10784633855623545,4282.581467861347,3890.032058472805,35067.71076923077,35137.184992340364
Merkezi,209,0.12127668196853013,0.09184656856800034,4406.354687140703,3765.5306791782423,37981.59133971292,37134.61280743315
VRV,2,0.11713609401594138,0.11713609401594138,9000.66688987926,9000.66688987926,71051.59,65180.87377308994
Merkezi (Pay Ölçer),331,0.10751033583352175,0.0768151611332652,5001.799063051357,3447.750184060358,45494.26628398792,44662.44176761965
Yerden Isıtma,2115,0.09676657779924662,0.07478096891030807,4007.3374985129203,2951.9510918477463,40547.94645390071,39958.63185781015
