m2_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
200+,331,0.17175746365562292,0.13443759313296214,6244.45969467559,4683.94868379816,37229.90069486405,37240.70856276274
151-200,1185,0.12616023399895426,0.10445290366898823,4659.177495640157,3558.836249443346,36904.79526582279,36509.28226380509
0-75,420,0.11739122810670286,0.09839694539234141,5652.6125341554625,4492.888670856199,47924.90740476191,46845.79936415593
126-150,1642,0.11712014919403613,0.09144426583556739,4194.215511885663,3165.9773741113095,36621.415237515226,36355.46665555865
101-125,1675,0.11507735997618349,0.09067666616456335,4156.472629677309,3184.629086546418,37181.69686567164,36870.80300842458
76-100,1414,0.10585512949642577,0.0799066554629313,4137.050771217813,3130.85455679203,39621.57963932108,39155.89721175888
