decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,32923.73109921139,5136.5718901718465
1,174,31543.124942528735,34827.41732476363,3284.2923822348907
2,176,33617.061534090906,36102.28483825958,2485.223304168672
3,174,35227.52902298851,36616.23884859423,1388.709825605724
4,176,36766.70914772727,37529.53756085266,762.8284131253885
5,175,38721.52542857143,38648.05606128335,-73.46936728807711
6,175,41049.114285714284,39911.85071056297,-1137.2635751513142
7,175,43378.922857142854,41282.827546563225,-2096.0953105796293
8,175,46825.67697142858,43238.58987987701,-3587.0870915515666
9,176,55005.39056818183,45689.72972183055,-9315.660846351278
