m2_group,n,mape,mae
200+,23,0.23161875457151482,8587.417492599725
126-150,65,0.1697651387590203,5701.612036468596
76-100,83,0.1508537005116568,5906.458021441443
101-125,89,0.15026420593125803,5501.071062716197
0-75,23,0.15015318355945365,7865.2636052840735
151-200,45,0.14485616501969956,6593.871609272381
