county,group,mean_abs_effect,positive_feature_count,negative_feature_count,top_positive_features,top_negative_features
Başiskele,front,0.011397331194352867,1,4,front_north|front_score|front_west,front_south|front_east|front_west
Başiskele,inside,0.01889456033661836,12,2,in_air_conditioner|in_parent_bathroom|in_intercom,in_terrace|in_pantry|in_pvc
Başiskele,nearby,0.006667280714097617,1,10,near_mall|near_pharmacy|near_university,near_park|near_lake_zero|near_mosque
Başiskele,outside,0.0605639764277085,12,0,out_closed_pool|out_open_pool|out_pool,out_heat_insulation|out_sound_insulation|out_hydrofor
Başiskele,subtype,0.0454000420790248,1,6,subtype_middle_floor|subtype_top_floor|subtype_triplex,subtype_reverse_duplex|subtype_duplex|subtype_roof_duplex
Başiskele,transport,0.011750064982327741,0,10,transport_tem|transport_score|transport_e5,transport_tram|transport_train|transport_metro
Başiskele,view,0.02238617254566974,3,6,view_pool|view_park_green|view_score,view_river|view_lake|view_city
Darıca,front,0.0014518184075138821,2,3,front_north|front_west|front_score,front_east|front_south|front_score
Darıca,inside,0.01972423830602175,11,3,in_parent_bathroom|in_air_conditioner|in_intercom,in_terrace|in_pantry|in_glass_balcony
Darıca,nearby,0.0027963006750911542,8,3,near_sea_zero|near_pharmacy|near_city_center,near_lake_zero|near_park|near_university
Darıca,outside,0.030817449521498123,12,0,out_closed_pool|out_open_pool|out_pool,out_heat_insulation|out_sound_insulation|out_children_playground
Darıca,subtype,0.06670134159502619,1,6,subtype_middle_floor|subtype_top_floor|subtype_roof_duplex,subtype_reverse_duplex|subtype_garden_duplex|subtype_duplex
Darıca,transport,0.004410114834660606,9,1,transport_tram|transport_metro|transport_score,transport_airport|transport_train|transport_e5
Darıca,view,0.009862632970196553,4,5,view_sea|view_pool|view_bosphorus,view_river|view_lake|view_city
Derince,front,0.016956423979566183,2,3,front_west|front_score|front_south,front_east|front_north|front_south
Derince,inside,0.031134928832764506,10,4,in_intercom|in_parent_bathroom|in_steel_door,in_pantry|in_air_conditioner|in_terrace
Derince,nearby,0.012861450385937378,3,8,near_sea_zero|near_pharmacy|near_university,near_mall|near_school|near_city_center
Derince,outside,0.05847540538164566,12,0,out_closed_pool|out_open_pool|out_pool,out_hydrofor|out_sound_insulation|out_heat_insulation
Derince,subtype,0.0584216639576837,1,6,subtype_middle_floor|subtype_roof_duplex|subtype_duplex,subtype_top_floor|subtype_reverse_duplex|subtype_garden_duplex
Derince,transport,0.012647799241314659,3,7,transport_bus_stop|transport_tram|transport_main_road,transport_train|transport_e5|transport_minibus
Derince,view,0.019426972250320588,4,5,view_pool|view_sea|view_nature,view_river|view_lake|view_park_green
Gebze,front,0.013154739367799064,0,5,front_north|front_score|front_south,front_west|front_east|front_south
