county,rows,site_coverage,dict_hit_rate,canonical_non_missing_rate,n_unique_sites
Darıca,3318,0.0867992766726944,0.0,0.0867992766726944,153
İzmit,2597,0.3611859838274933,0.0,0.3611859838274933,361
Gebze,1803,0.1569606211869107,0.0,0.1569606211869107,124
Başiskele,1753,0.2977752424415288,0.0,0.2977752424415288,217
Çayırova,1234,0.1507293354943274,0.0,0.1507293354943274,75
Gölcük,1179,0.21034775233248515,0.0,0.21034775233248515,161
Kartepe,1008,0.3412698412698413,0.0,0.3412698412698413,172
Körfez,786,0.20737913486005088,0.0,0.20737913486005088,84
Derince,685,0.20437956204379562,0.0,0.20437956204379562,83
