decile,n,mean_actual,mean_pred,mean_bias
0,177,27787.159209039546,33052.10192304696,5264.942714007411
1,174,31543.124942528735,34599.980814026596,3056.8558714978567
2,176,33617.061534090906,35944.32004503538,2327.2585109444776
3,174,35227.52902298851,36600.61091787349,1373.0818948849883
4,176,36766.70914772727,37659.858679666446,893.149531939176
5,175,38721.52542857143,38431.68005005962,-289.84537851180414
6,175,41049.114285714284,39788.54662909269,-1260.5676566215943
7,175,43378.922857142854,41348.37557035116,-2030.547286791694
8,175,46825.67697142858,43073.89128876899,-3751.7856826595776
9,176,55005.39056818183,45329.363882826445,-9676.026685355373
