county,district,rows,matched_demo_rows,matched_county_demo_rows,avg_demo_coverage_score,match_rate,county_match_rate
Başiskele,Altınkent Mh.,58,58,58,0.875,1.0,1.0
Başiskele,Atakent Mah.,16,16,16,0.875,1.0,1.0
Başiskele,Aydınkent Mh.,29,29,29,0.875,1.0,1.0
Başiskele,Bahçecik Kılıçaslan Mh.,16,0,0,0.0,0.0,0.0
Başiskele,Bahçecik Şehitekrem Mh.,5,0,0,0.0,0.0,0.0
Başiskele,Barbaros Mah.,218,218,218,0.875,1.0,1.0
Başiskele,Damlar Mah.,10,10,10,0.875,1.0,1.0
Başiskele,Döngel Mh.,85,85,85,0.875,1.0,1.0
Başiskele,Fatih Mah.,360,360,360,0.875,1.0,1.0
Başiskele,Havuzlubahçe Mh.,13,13,13,0.875,1.0,1.0
Başiskele,Karşıyaka Mh.,6,6,6,0.875,1.0,1.0
Başiskele,Kullar Merkez Mh.,12,0,0,0.0,0.0,0.0
Başiskele,Kullar Tepecik Mh.,20,20,20,0.875,1.0,1.0
Başiskele,Kullar Yakacık Mh.,43,43,43,0.875,1.0,1.0
Başiskele,Körfez Mh.,27,27,27,0.875,1.0,1.0
Başiskele,Mahmutpaşa Mh.,45,45,45,0.875,1.0,1.0
Başiskele,Paşadağ Mh.,185,185,185,0.875,1.0,1.0
Başiskele,Sahil Mah.,7,7,7,0.875,1.0,1.0
Başiskele,Serdar Mah.,75,75,75,0.875,1.0,1.0
Başiskele,Seymen Mah.,22,22,22,0.875,1.0,1.0
Başiskele,Tepecik Mh.,1,1,1,0.75,1.0,1.0
Başiskele,Vezirçiftliği Mh.,1,1,1,0.875,1.0,1.0
Başiskele,Yaylacık Mh.,56,56,56,0.875,1.0,1.0
Başiskele,Yeniköy Merkez Mh.,29,29,29,0.875,1.0,1.0
Başiskele,Yeşilkent Mh.,9,9,9,0.875,1.0,1.0
Başiskele,Yeşilyurt Mh.,409,409,409,0.875,1.0,1.0
Başiskele,Yuvacık Yakacık Mh.,1,1,1,0.875,1.0,1.0
