heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Yok,7,0.17888525211835402,0.09714416012674763,6760.27805381771,3527.4482275591945,37454.69142857143,35785.57864172298
Doğalgaz Sobası,4,0.13928935768491402,0.06693669363623433,3856.4939660970986,2510.323909915154,33555.9775,34676.50249673622
,7,0.11458160879586829,0.10095287273855919,5226.156810049366,3568.56694597569,44523.14,41428.67479035713
Kombi (Doğalgaz),737,0.11348661512185987,0.08856058390538707,4321.816748701618,3327.037300445616,38156.259457259155,37924.69505494819
Kombi (Elektrik),3,0.10600541108984331,0.12694522105256195,3581.7570751779617,4342.863293175302,34297.65333333333,36578.449674223055
Merkezi,2,0.09986992628731614,0.09986992628731614,3522.360064567485,3522.360064567485,36354.165,39876.52506456748
Yerden Isıtma,971,0.09790070917704681,0.0741384507722881,3923.314948611431,2914.216994301758,39621.46486096807,39081.9445473837
Kat Kaloriferi,8,0.08864328883195301,0.05554700833099023,3181.436128211389,1725.4408202809773,36377.21625,36851.44815757089
Merkezi (Pay Ölçer),14,0.08459806923397388,0.05526236590491124,3984.6992750061336,2348.5492160786416,41591.92285714286,40806.47788730921
