feature,missing_rate,min,median,mean,max,std,nunique,zero_variance,used_in_model,note
sat_ndvi_mean_250m,0.2334384858044164,0.1829608288933201,0.3649392133644125,0.37950819772142874,0.6179980025490732,0.09062186469604688,727,False,True,
sat_ndwi_mean_250m,0.2334384858044164,-0.5940144036703318,-0.4038905147510414,-0.4106334063151224,-0.2258669873915547,0.0703543292052538,727,False,True,
sat_ndbi_mean_250m,0.2334384858044164,-0.1725114535637763,-0.0421711740356518,-0.05106864978530921,0.0353850390722748,0.04439627301304447,727,False,True,
sat_brightness_mean_250m,0.2334384858044164,0.0683438494577556,0.1077050430931414,0.1071632363971314,0.2074823970411498,0.01621012433227543,727,False,True,
sat_has_features,0.0,0.0,1.0,0.7665615141955836,1.0,0.42301886382259324,2,False,True,binary_like
