feature,non_null_rate,mean,std,zero_variance,used_in_model,note
sat_has_features,0.7665615141955836,0.7665615141955836,0.42324144677081443,False,True,
sat_ndvi_mean_250m,0.7665615141955836,0.37950819772142874,0.09068408362867435,False,True,
sat_ndwi_mean_250m,0.7665615141955836,-0.4106334063151224,0.07040263290418511,False,True,
sat_ndbi_mean_250m,0.7665615141955836,-0.05106864978530921,0.04442675449484551,False,True,
sat_brightness_mean_250m,0.7665615141955836,0.1071632363971314,0.01622125383879238,False,True,
