m2_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
200+,43,4.0,5.0,0,0,0.9542331711047594,38271.07372093023
0-75,35,2.6857142857142855,0.0,0,0,1.2514858504764665,53130.34457142857
126-150,218,1.7339449541284404,0.0,0,0,0.9876043450456902,39176.51027522936
76-100,232,1.6939655172413792,0.0,0,0,1.0198124013405008,43785.19741379311
101-125,249,1.461847389558233,0.0,0,0,0.9878955167773618,39753.45345381526
151-200,167,1.341317365269461,0.0,0,0,0.9687006902062408,37635.07526946108
