room_count,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
6+1,1,7.0,7.0,0,0,1.341455105991005,52777.78
4.5+1,2,6.0,6.0,0,0,0.8835492325044068,34219.0
5+1,6,5.5,7.0,0,0,0.8354130749727676,36316.30333333334
2+2,1,5.0,5.0,0,0,1.182449946649325,42400.0
3+2,1,5.0,5.0,0,0,0.9950433281751845,36267.61
4+2,1,5.0,5.0,0,0,0.9065075282972457,34666.67
4+1,84,2.0238095238095237,0.0,0,0,0.9719378444532272,37769.13130952381
2+1,390,1.7615384615384615,0.0,0,0,1.0122160390310562,42197.53007692308
1+1,39,1.564102564102564,0.0,0,0,1.171268932907904,49346.523589743585
3+1,417,1.5347721822541966,0.0,0,0,0.9874796675595642,39052.329112709835
2.5+1,1,0.0,0.0,0,0,0.9794973978869749,43000.0
3.5+1,1,0.0,0.0,0,0,1.3905516861766345,53103.45
