county,group,mean_abs_effect,positive_feature_count,negative_feature_count,top_positive_features,top_negative_features
Başiskele,front,0.014070108246528958,3,2,front_north|front_west|front_score,front_east|front_south|front_score
Başiskele,inside,0.042932746579313744,12,2,in_air_conditioner|in_dressing_room|in_smart_home,in_terrace|in_pantry|in_pvc
Başiskele,nearby,0.011415417447226843,7,4,near_sea_zero|near_lake_zero|near_mall,near_city_center|near_school|near_mosque
Başiskele,outside,0.07714089980526706,12,0,out_closed_pool|out_sauna_hamam|out_generator,out_sound_insulation|out_hydrofor|out_heat_insulation
Başiskele,subtype,0.05344407691203278,3,4,subtype_middle_floor|subtype_top_floor|subtype_reverse_duplex,subtype_triplex|subtype_roof_duplex|subtype_duplex
Başiskele,transport,0.013825981614010394,2,8,transport_airport|transport_tem|transport_minibus,transport_metro|transport_train|transport_tram
Başiskele,view,0.022020409754542936,6,3,view_pool|view_nature|view_city,view_bosphorus|view_lake|view_river
Gölcük,front,0.01353973916097998,1,4,front_west|front_score|front_south,front_north|front_east|front_south
Gölcük,inside,0.053460451092350515,12,2,in_dressing_room|in_parent_bathroom|in_smart_home,in_terrace|in_laminate_floor|in_pvc
Gölcük,nearby,0.02235742211505469,2,9,near_sea_zero|near_lake_zero|near_hospital,near_city_center|near_school|near_university
Gölcük,outside,0.08638105195331695,12,0,out_open_pool|out_pool|out_closed_pool,out_heat_insulation|out_sound_insulation|out_children_playground
Gölcük,subtype,0.028521475999906454,3,4,subtype_reverse_duplex|subtype_middle_floor|subtype_garden_duplex,subtype_triplex|subtype_roof_duplex|subtype_top_floor
Gölcük,transport,0.02030179519187847,3,7,transport_airport|transport_tem|transport_tram,transport_metro|transport_train|transport_main_road
Gölcük,view,0.028135938453902276,5,4,view_pool|view_nature|view_park_green,view_city|view_lake|view_river
Karamürsel,front,0.010601203629918917,4,1,front_east|front_score|front_south,front_west|front_north|front_south
Karamürsel,inside,0.053426467823180945,11,3,in_dressing_room|in_air_conditioner|in_smart_home,in_terrace|in_laminate_floor|in_pantry
Karamürsel,nearby,0.038324248118064314,3,8,near_sea_zero|near_mall|near_lake_zero,near_city_center|near_mosque|near_hospital
Karamürsel,outside,0.0791603394380108,12,0,out_closed_pool|out_generator|out_sauna_hamam,out_heat_insulation|out_sound_insulation|out_hydrofor
Karamürsel,subtype,0.049802775472218785,2,5,subtype_middle_floor|subtype_reverse_duplex|subtype_garden_duplex,subtype_triplex|subtype_roof_duplex|subtype_top_floor
Karamürsel,transport,0.022309928983772227,3,7,transport_e5|transport_airport|transport_tram,transport_minibus|transport_score|transport_metro
Karamürsel,view,0.03633589628286627,4,5,view_pool|view_nature|view_sea,view_score|view_city|view_park_green
İzmit,front,0.009938960339698419,4,1,front_score|front_east|front_west,front_north|front_south|front_west
İzmit,inside,0.058306855385654534,13,1,in_dressing_room|in_air_conditioner|in_smart_home,in_terrace|in_laminate_floor|in_pantry
İzmit,nearby,0.013912452075054538,9,2,near_sea_zero|near_university|near_mall,near_city_center|near_park|near_lake_zero
İzmit,outside,0.07722307868386687,12,0,out_generator|out_open_pool|out_pool,out_sound_insulation|out_heat_insulation|out_children_playground
İzmit,subtype,0.058127063617356,2,5,subtype_middle_floor|subtype_reverse_duplex|subtype_garden_duplex,subtype_roof_duplex|subtype_triplex|subtype_duplex
İzmit,transport,0.015454455327411836,7,3,transport_airport|transport_tram|transport_e5,transport_train|transport_metro|transport_bus_stop
İzmit,view,0.025880904471493736,5,4,view_pool|view_score|view_sea,view_city|view_river|view_lake
