county,rows,r2,log_r2,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2
Başiskele,856,0.4534310549577666,0.45746764761781955,0.11097972611521924,0.08799650996929252,4542.137446195417,3405.721616589759
İzmit,1329,0.7108802823655818,0.7258832115629802,0.12979057714289313,0.1043553858518619,5058.47452619694,3932.1119823423905
Gölcük,571,0.6480910577285173,0.6571250489864982,0.13983064131421755,0.11415440953898127,4252.073166352127,3355.507740903944
Karamürsel,202,0.5680658123826178,0.6113192660609792,0.16917333790561834,0.14352785767267323,6416.472767890258,5154.251456760641
