building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,405,4.62962962962963,0.0,0,0,0.8830780623679391,26618.7592345679
26-30 arası,292,4.184931506849315,0.0,0,0,0.8834562994403976,28180.769143835616
4,49,2.7346938775510203,0.0,0,0,1.0313983678992125,43560.945918367346
3,72,2.611111111111111,0.0,0,0,1.0998646370545448,44041.04027777778
0 (Yapım Aşamasında),180,2.522222222222222,0.0,0,0,1.0450835054966894,45680.97627777778
16-20 arası,105,2.4095238095238094,0.0,0,0,1.001005276395004,36803.35742857143
1,91,2.4065934065934065,0.0,0,0,1.040351430097214,43468.49593406593
0 (Oturuma Hazır),593,2.1686340640809445,0.0,1,0,1.0599151229369352,43555.756644182125
2,66,2.090909090909091,0.0,0,0,1.0393298851733699,43686.86166666667
5,100,2.05,0.0,0,0,1.1007488704303527,42499.8612
21-25 arası,151,2.033112582781457,0.0,0,0,0.9870648404977077,33959.02662251656
11-15 arası,392,1.8673469387755102,0.0,0,0,1.02287545673124,41219.748341836734
6-10 arası,459,1.8235294117647058,0.0,0,0,1.0243674738293778,41174.443485838776
missing,3,0.0,0.0,0,0,1.0565937811640829,44908.426666666666
