m2_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
200+,105,5.019047619047619,5.0,0,0,0.9762001299438905,38776.176857142855
0-75,243,2.786008230452675,0.0,0,0,1.1552531646343733,49544.86288065844
126-150,643,2.7667185069984446,0.0,0,0,0.9755637221622652,35818.13037325039
151-200,351,2.606837606837607,0.0,0,0,0.9912999213582859,38508.21829059829
101-125,824,2.5643203883495147,0.0,1,0,0.9879734400905581,36447.6090776699
76-100,792,2.321969696969697,0.0,0,0,1.0199561159360426,39075.560643939396
