basiskele_specialist_mode,r2,mape,basiskele_r2,basiskele_mape,basiskele_variance_ratio,karamursel_r2,golcuk_r2,izmit_r2,global_guardrail,ship_ready_all_counties_r2_ge_0_65
none,0.6817803546818522,0.12843354761832437,0.45535258969555736,0.11009245825800698,0.4323514836753057,0.5719563120644527,0.6491505584791228,0.7129499345573027,True,False
premium,0.6809181611178677,0.12855820886073815,0.453080759058645,0.11030637608835688,0.43930827670434636,0.5685983176045186,0.6497691854765888,0.7123622177785733,True,False
premium_target_stats,0.6799014234780145,0.12897452096852122,0.4534310549577666,0.11097972611521927,0.45158203475222775,0.5680658123826178,0.6480910577285173,0.7108802823655818,True,False
premium_target_stats_variance_lift,0.6799014234780145,0.12897452096852122,0.4534310549577666,0.11097972611521927,0.4515820347522278,0.5680658123826177,0.6480910577285173,0.7108802823655818,True,False
