model,mape,mae_tl_per_m2,median_ae_tl_per_m2,r2,log_r2
gradient_boosting_tuned_r2_v4_detail,0.13652628701814642,5255.192979094541,4271.777534078308,0.6056236271802412,0.6236010889440455
hist_gradient_boosting_v4_detail,0.13540907903379934,5204.100406308491,4047.2242433524134,0.6036450911902883,0.6219735399038502
gradient_boosting_v4_detail,0.13956615573896963,5357.323573309,4359.51281412599,0.5965131703370146,0.6108872912903489
extra_trees_v4_detail,0.1404139207056058,5385.616286638973,4209.3102792077225,0.5796168952247625,0.5925041792575302
random_forest_v4_detail,0.14312033081306905,5493.403086654217,4468.831485739693,0.5704350114039474,0.5902539382823463
ridge_v4_detail,0.146291216546752,5597.235732893737,4374.615582237802,0.5525753001390824,0.5725381960338778
elasticnet_v4_detail,0.1573231325583275,6022.262392398001,5014.834596776258,0.48748007209239264,0.5148232141481051
