fold,n_train,n_val,pred_log_mean,actual_log_mean
0,735,184,10.595804902749611,10.5980850269794
1,735,184,10.597391158033789,10.600605910157828
2,735,184,10.59597225459581,10.59534966444755
3,735,184,10.601665460472624,10.600646747799352
4,736,183,10.601801673059414,10.603518635028541
