experiment,site_extraction_mode,site_project_encoding,rows,r2,log_r2,mape,mae,median_ape,variance_ratio,large_home_r2,large_home_mape,expensive_decile_bias,cheap_decile_bias,extracted_raw_rate,alias_hit_rate,dict_hit_rate,canonical_non_missing_rate,foldsafe_encoded_site_count,top_expensive_underpredicted_site_missing_rate,merge_audit_severe_warnings,selected,notes
control_v20_site_foldsafe,v20_parity,foldsafe_target,919,0.5007619335854092,0.5076400243513424,0.10600344051217299,4366.477721911196,0.08716223411611564,0.46068469137619483,0.2801444435840508,0.12433677316502888,-10144.80132005889,4980.5688808862615,0.20021762785636563,,0.06746463547334058,0.20021762785636563,30.0,,0,False,
alias_frequency,alias,frequency,919,0.49643673742343186,0.5031681168937405,0.10664332382984791,4389.025439772377,0.08638441689603367,0.45465753563166494,0.29161577098404246,0.12390520563354841,-10267.96793544286,5040.414651529139,0.34276387377584333,0.29053318824809576,0.15451577801958652,0.34276387377584333,0.0,0.5517241379310345,0,False,no_r2_lift_vs_v20 (0.4964 <= 0.5017)
dict_frequency,dict,frequency,919,0.49643673742343186,0.5031681168937405,0.10664332382984791,4389.025439772377,0.08638441689603367,0.45465753563166494,0.29161577098404234,0.12390520563354843,-10267.96793544286,5040.414651529139,0.34276387377584333,0.29053318824809576,0.15451577801958652,0.34276387377584333,0.0,0.5517241379310345,0,False,no_r2_lift_vs_v20 (0.4964 <= 0.5017)
dict_foldsafe,dict,foldsafe_target,919,0.5008902193509002,0.5079579370691045,0.10590288879582925,4361.386181626814,0.08724966325402597,0.45875398671492257,0.30239179548478545,0.12303936935273527,-10201.733896386471,4989.258387477216,0.34276387377584333,0.29053318824809576,0.15451577801958652,0.34276387377584333,28.0,0.5568181818181818,0,False,no_r2_lift_vs_v20 (0.5009 <= 0.5017)
tier_foldsafe,tier,foldsafe_target,919,0.5016295132755351,0.5084226604989852,0.10592212961793465,4361.803379984466,0.08654646396729065,0.4617859209188487,0.30571769016665507,0.12268243169308013,-10156.07862613389,4961.5149542321105,0.34276387377584333,0.29053318824809576,0.15451577801958652,0.34276387377584333,28.0,0.5632183908045977,0,False,no_r2_lift_vs_v20 (0.5016 <= 0.5017)
interactions_foldsafe,interactions,foldsafe_target,919,0.5059022056902565,0.5123889852648608,0.10552770010188577,4345.0762190831265,0.08670616494684916,0.4590065800742071,0.308812974100272,0.12266829704588131,-10158.761516544975,4994.534353438794,0.34276387377584333,0.29053318824809576,0.15451577801958652,0.34276387377584333,28.0,0.5517241379310345,0,False,
full_v21,full,foldsafe_target,919,0.5059022056902565,0.5123889852648608,0.10552770010188577,4345.076219083126,0.08670616494684916,0.45900658007420714,0.308812974100272,0.12266829704588131,-10158.761516544975,4994.534353438794,0.34276387377584333,0.29053318824809576,0.15451577801958652,0.34276387377584333,28.0,0.5517241379310345,0,True,selected vs V20 (R2 lift + MAPE + no severe bad merge)
