building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
31 ve üzeri,8,7.375,7.5,0,0,0.6971767539365239,28095.89875
16-20 arası,11,4.7272727272727275,5.0,0,0,0.8125959368691957,36433.91818181818
0 (Yapım Aşamasında),78,2.641025641025641,0.0,0,0,1.019822721754927,41159.575769230774
4,17,2.411764705882353,0.0,0,0,0.9654341868799492,40888.98941176471
26-30 arası,16,2.125,0.0,0,0,0.907732828753558,32057.213125000002
11-15 arası,78,1.935897435897436,0.0,0,0,0.9288980924434049,37469.194871794876
0 (Oturuma Hazır),388,1.6469072164948453,0.0,0,0,1.0217451059947384,42164.376211340204
3,26,1.5769230769230769,0.0,0,0,1.087401007573072,43607.786538461536
1,47,1.5106382978723405,0.0,0,0,1.020021575304078,42601.52404255319
2,30,1.5,0.0,0,0,0.9767630868414279,41055.965
6-10 arası,158,1.3164556962025316,0.0,0,0,0.976358886300069,40460.17386075949
5,43,1.2325581395348837,0.0,0,0,1.0844605879052365,43811.04720930233
21-25 arası,16,1.125,0.0,0,0,0.8515140509124688,31237.335625
missing,3,0.0,0.0,0,0,1.0488938806358254,44908.426666666666
