decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34048.16677305426,5058.147751315122
1,94,32779.16914893617,36711.82540265727,3932.6562537210943
2,90,35039.15233333334,37598.865539301885,2559.713205968554
3,92,36802.27858695651,39231.28595264782,2429.0073656912973
4,93,38664.66096774193,39509.87201948918,845.2110517472548
5,90,40912.58688888889,40517.364974545766,-395.2219143431223
6,92,43037.149456521736,41810.72402719804,-1226.4254293236952
7,92,45705.152934782614,43222.932287260395,-2482.220647522221
8,92,49382.030000000006,44983.40311254027,-4398.6268874597345
9,92,57958.77086956522,47147.80136213426,-10810.969507430947
