experiment,comparable_mode,rows,r2,log_r2,mape,mae,median_ape,variance_ratio,large_home_r2,non_large_r2,cheap_decile_bias,expensive_decile_bias,selected,notes
control_v17_geo,none,919,0.473081377879931,0.4819832232281366,0.10931360720519831,4510.313183382837,0.08906366948507012,0.4263870722335107,0.2648129833593479,,,,True,warning:variance_ratio 0.4264 < control 0.4283; selected
nearest_only,nearest,919,0.4689752145946947,0.4788046377767554,0.10955466510553401,4522.663967283679,0.08863972622900848,0.41866373734867474,0.2678664791542985,,,,False,nearest_only disqualified from final selection (failed prior full nearest lift); warning:variance_ratio 0.4187 < control 0.4283; no_r2_lift_vs_control (0.4690 <= 0.4730)
similar_only,similar,919,0.4640056082367585,0.47375443641169,0.11035826267613813,4556.685081157848,0.08836859609233962,0.41031249861333025,0.253522177743732,,,,False,warning:variance_ratio 0.4103 < control 0.4283; no_r2_lift_vs_control (0.4640 <= 0.4730)
weighted_only,weighted,919,0.46930536313490145,0.4787604183090558,0.10990178482071689,4535.799771966611,0.0888423522682223,0.4209750677343903,0.2621076628383111,,,,False,warning:variance_ratio 0.4210 < control 0.4283; no_r2_lift_vs_control (0.4693 <= 0.4730)
large_home_only,large_home,919,0.47132677527647004,0.4810270197263802,0.10966786632870565,4522.955793469778,0.08960744890921928,0.41641891285356936,0.2688128464762556,,,,False,warning:variance_ratio 0.4164 < control 0.4283; no_r2_lift_vs_control (0.4713 <= 0.4730)
full_comparable,full,919,0.43585110313307307,0.4513097241138301,0.11284165796599148,4671.55868897045,0.09376763793767741,0.38506535579291346,0.2346586473333776,,,,False,warning:variance_ratio 0.3851 < control 0.4283; no_r2_lift_vs_control (0.4359 <= 0.4730)
