segment,rows,status,status_note,blend_weight,base_r2,base_log_r2,base_mape,base_mae_tl_per_m2,segment_r2,segment_log_r2,segment_mape,segment_mae_tl_per_m2,best_blended_r2,best_blended_log_r2,best_blended_mape,best_blended_mae_tl_per_m2,blend_candidates,weights
large_home,216,used_blend,,0.35,0.29311806258533346,0.28485515320960675,0.1275830629536197,4854.903321004363,0.18750744746631698,0.18830619879543953,0.1347878341074996,5183.474991235033,0.3057880265191609,0.3036648757094451,0.12469454881158099,4766.1455762967225,"[{""blend_weight"": 0.15, ""r2"": 0.30509314768560913, ""log_r2"": 0.2995743064111013, ""mape"": 0.1258486793707776, ""mae_tl_per_m2"": 4799.001031352323}, {""blend_weight"": 0.25, ""r2"": 0.30762228728812036, ""log_r2"": 0.30384247597518566, ""mape"": 0.1249931012194787, ""mae_tl_per_m2"": 4771.95003956107}, {""blend_weight"": 0.35, ""r2"": 0.3057880265191609, ""log_r2"": 0.3036648757094451, ""mape"": 0.12469454881158099, ""mae_tl_per_m2"": 4766.1455762967225}, {""blend_weight"": 0.5, ""r2"": 0.29485525966921344, ""log_r2"": 0.2949594211128611, ""mape"": 0.125667124848142, ""mae_tl_per_m2"": 4810.962208398382}, {""blend_weight"": 0.65, ""r2"": 0.2741048419834562, ""log_r2"": 0.2758751529067036, ""mape"": 0.1276586816383126, ""mae_tl_per_m2"": 4893.368867538187}, {""blend_weight"": 0.8, ""r2"": 0.24353677346188873, ""log_r2"": 0.24599021484728756, ""mape"": 0.13026740229469244, ""mae_tl_per_m2"": 5000.530091424308}, {""blend_weight"": 1.0, ""r2"": 0.18750744746631698, ""log_r2"": 0.18830619879543953, ""mape"": 0.1347878341074996, ""mae_tl_per_m2"": 5183.474991235033}]","{""extra_trees"": 0.5097508749947236, ""random_forest"": 0.49024912500527645}"
compact_home,108,skipped_too_few_rows,,,,,,,,,,,,,,,,
old_building,25,skipped_too_few_rows,,,,,,,,,,,,,,,,
mainstream_home,595,used_blend,,0.5,0.3977390242937152,0.40611626027119185,0.10358449888719622,4294.322940673882,0.39014529400967357,0.4085278582319394,0.10472377823198308,4345.097621980129,0.42180797776889534,0.4372998169470851,0.1014645385690216,4214.552633408916,"[{""blend_weight"": 0.15, ""r2"": 0.4108115322458815, ""log_r2"": 0.421902833293881, ""mape"": 0.10245991491939814, ""mae_tl_per_m2"": 4251.718519178866}, {""blend_weight"": 0.25, ""r2"": 0.4167399556856055, ""log_r2"": 0.4293381515358097, ""mape"": 0.10188647520941091, ""mae_tl_per_m2"": 4230.169152985388}, {""blend_weight"": 0.35, ""r2"": 0.42043911363595354, ""log_r2"": 0.43433354560919635, ""mape"": 0.10151943137355708, ""mae_tl_per_m2"": 4215.899537239557}, {""blend_weight"": 0.5, ""r2"": 0.42180797776889534, ""log_r2"": 0.4372998169470851, ""mape"": 0.1014645385690216, ""mae_tl_per_m2"": 4214.552633408916}, {""blend_weight"": 0.65, ""r2"": 0.41816099455074107, ""log_r2"": 0.4348857048422823, ""mape"": 0.10183198619463872, ""mae_tl_per_m2"": 4229.703876262409}, {""blend_weight"": 0.8, ""r2"": 0.4094981639814904, ""log_r2"": 0.4271325963730628, ""mape"": 0.10268279619522935, ""mae_tl_per_m2"": 4263.519303965299}, {""blend_weight"": 1.0, ""r2"": 0.39014529400967357, ""log_r2"": 0.4085278582319394, ""mape"": 0.10472377823198308, ""mae_tl_per_m2"": 4345.097621980129}]","{""extra_trees"": 0.5031095715946107, ""gradient_boosting"": 0.49689042840538944}"
