experiment,satellite_feature_mode,rows,sat_feature_coverage,r2,log_r2,mape,mae,median_ape,variance_ratio,large_home_r2,expensive_decile_bias,cheap_decile_bias,selected,notes
control_v21,none,944,0.7665615141955836,0.48128079891944286,0.4865073766760156,0.10836418748871617,4423.711172597294,0.0870910261414666,0.44883124906181665,0.2832704267968038,-10423.791542031546,5042.119190638963,True,
sat_basic_250m,basic,944,0.7665615141955836,0.4827457300856719,0.48709430594824965,0.10834791866965561,4419.453586109525,0.086182735742004,0.44908756803170335,0.28048565180274376,-10389.749768232903,5074.477005936471,False,no_r2_lift_vs_v21 (0.4827 <= 0.5059)
sat_radii,radii,944,0.7665615141955836,0.48008552926381,0.48466582459743923,0.10856992066015614,4433.921567328007,0.08742502522573359,0.4512733544990828,0.2697062698513458,-10325.823803539704,5025.336688069748,False,no_r2_lift_vs_v21 (0.4801 <= 0.5059)
sat_full,full,944,0.7665615141955836,0.4829073791578248,0.4869892558849128,0.10858129093925756,4430.466171639269,0.08644460543138391,0.44624258829225033,0.27880789930057703,-10372.505879565884,5098.323221892315,False,no_r2_lift_vs_v21 (0.4829 <= 0.5059)
