decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,33915.10789636666,4925.08887462753
1,94,32779.16914893617,36878.91257771678,4099.743428780607
2,90,35039.15233333334,37599.15172537154,2559.999392038205
3,92,36802.27858695651,39295.73482189899,2493.4562349424577
4,93,38664.66096774193,39414.59922188958,749.9382541476429
5,90,40912.58688888889,40163.45240251799,-749.1344863708961
6,92,43037.149456521736,41719.290095165896,-1317.8593613558407
7,92,45705.152934782614,43198.18620379259,-2506.9667309900165
8,92,49382.030000000006,45457.57353237924,-3924.456467620763
9,92,57958.77086956522,47291.8510226496,-10666.919846915614
