decile,n,mean_actual,mean_pred,mean_bias
0,92,28990.019021739125,34109.813142503874,5119.794120764739
1,94,32779.16914893617,36763.617087478604,3984.4479385424315
2,90,35039.15233333334,37592.10183139216,2552.9494980588306
3,92,36802.27858695651,39226.02221184353,2423.7436248870076
4,93,38664.66096774193,39493.34294217427,828.6819744323425
5,90,40912.58688888889,40459.33831556713,-453.2485733217539
6,92,43037.149456521736,41805.57213427021,-1231.5773222515306
7,92,45705.152934782614,43226.349749392844,-2478.8031853897673
8,92,49382.030000000006,44978.57643729669,-4403.453562703322
9,92,57958.77086956522,47106.00773678451,-10852.763132780708
