feature,pearson_corr,spearman_corr,abs_spearman,missing_rate,pearson_corr_log_residual,spearman_corr_log_residual,n_used,present
location_baseline_m2,0.1294914748946962,0.05934477806769826,0.05934477806769826,0.0,0.12024155686695039,0.06550284394893349,856,True
attr_total_quality_score,0.041888889128456626,0.054922918606489984,0.054922918606489984,0.0,0.049440337001872184,0.06423237179295495,856,True
gross_m2,0.00957127276897796,-0.053928771019985874,0.053928771019985874,0.0,0.003598020601517232,-0.05535662552070993,856,True
net_m2,0.0315945342231946,-0.046894014685049064,0.046894014685049064,0.0,0.027684892449217555,-0.04795412404984488,856,True
dues,0.08309019017935383,0.034882813614830935,0.034882813614830935,0.6214953271028038,0.0825574548982404,0.03993171198298697,324,True
detail_effect_view_sum,0.019952651172107226,0.028275153585268366,0.028275153585268366,0.0,0.015812504136435784,0.026241975704676398,856,True
basiskele_detail_view_premium_signal,0.012981175250751773,0.028275153585268366,0.028275153585268366,0.0,0.008030046943951012,0.026241975704676398,856,True
building_age,-0.04555015222729688,-0.025014559999770505,0.025014559999770505,0.0035046728971962616,-0.05359110829390247,-0.030958626549756205,853,True
basiskele_detail_outside_premium_signal,-0.025778347201030748,-0.018454223402565487,0.018454223402565487,0.0,-0.029459161966293432,-0.01939559396876219,856,True
detail_selected_count,-0.02138654989684567,-0.01684167135475425,0.01684167135475425,0.0,-0.028072716227687894,-0.016994614195521673,856,True
detail_effect_outside_sum,0.022706875350643453,-0.01661866118698429,0.01661866118698429,0.0,0.009821951057172786,-0.01749631483407597,856,True
basiskele_detail_inside_premium_signal,-0.011300285298957142,-0.016088545022556678,0.016088545022556678,0.0,-0.014396202727369752,-0.015754181561950548,856,True
detail_effect_inside_sum,0.0013358310233938867,-0.015023562380151794,0.015023562380151794,0.0,-0.005713953117673573,-0.01459508221903912,856,True
basiskele_premium_score,-0.003797439466018702,0.012076371357725693,0.012076371357725693,0.0,-0.007079503547386075,0.010752244376020367,856,True
large_home_room_density,0.0031826675386793127,-0.011009242558948426,0.011009242558948426,0.0,-0.009567078432406714,-0.012438845871365779,856,True
detail_effect_total_sum,0.02009261690539421,0.010794441904117916,0.010794441904117916,0.0,0.013097176689345038,0.01050928623029648,856,True
is_large_flat,0.007901052741845266,-0.009982505543194976,0.009982505543194976,0.0,-0.003571179283951469,-0.011439228637168002,856,True
large_home_basiskele_premium,0.010468108114809712,-0.009797204893162548,0.009797204893162548,0.0,-0.0010235871554541242,-0.011350948765173141,856,True
basiskele_has_view_signal,0.0028677974637645294,0.008579575712805314,0.008579575712805314,0.0,-0.004159103154748442,0.004550653334156873,856,True
large_home_log_m2,0.010559286544440192,-0.008344808657783892,0.008344808657783892,0.0,-0.0009251989079282295,-0.009708602938359484,856,True
large_home_detail_premium_x_m2,0.04430021190954174,-0.007495106093527016,0.007495106093527016,0.0,0.03188891017317733,-0.007641322097646642,856,True
basiskele_has_pool_signal,0.011381849934000971,-0.005604262769038349,0.005604262769038349,0.0,0.001641940521139603,-0.0026664492332687723,856,True
large_home_m2_excess,0.06819759771789757,-0.005213014470938513,0.005213014470938513,0.0,0.06174308223753609,-0.007222374672779712,856,True
district_target_median,-0.008886734441531003,0.0050949399619004115,0.0050949399619004115,0.0,-0.017036727644785334,0.00865051702549159,856,True
detail_quality_score,0.014666907407511585,-0.0049819206810311194,0.0049819206810311194,0.0,0.00588343026398752,-0.0047667736847680844,856,True
basiskele_site_premium_signal,0.017781840237169808,-0.004773277966420488,0.004773277966420488,0.0,0.007600244674517531,-0.004537036359906223,856,True
large_home_quality_x_m2,0.01600486157417795,-0.00471043760454733,0.00471043760454733,0.0,0.004758445867144356,-0.005818068178015193,856,True
large_home_net_gross_quality,0.01601646806889876,-0.00436847003081472,0.00436847003081472,0.0,0.0040349927527891785,-0.0057092692196015205,856,True
large_home_site_x_m2,0.026162132010788777,0.001993899786113206,0.001993899786113206,0.0,0.017428390746928084,0.0009104653261673258,856,True
basiskele_detail_total_premium_signal,-0.0021521064461491276,0.0019452713673644214,0.0019452713673644214,0.0,-0.002822963993242682,-0.0002280301244358978,856,True
