decile,rows,actual_mean,pred_mean,mean_bias,median_bias,mape,mae,r2_if_possible,actual_min,actual_max,pred_min,pred_max,bias_pct_of_actual
1,86,28964.66360465116,34684.09284437908,5719.429239727923,5725.3694992132805,0.20646658769939613,5853.156865095478,-9.058531244720184,20952.38,31495.0,27983.36536272465,45152.947045736655,0.1974623050277544
2,86,32864.94069767442,36410.35673661937,3545.416038944945,3365.464752468615,0.11538401484077014,3784.1419523597215,-49.275923991162685,31628.79,33985.51,30277.316334074774,46014.975794161415,0.10787836410719051
3,85,34970.41294117647,37168.16004214182,2197.7471009653527,2316.401132413099,0.08786811701636638,3065.0043790565637,-48.10312803200942,34000.0,35906.04,30235.09198849428,46293.96160856215,0.06284590075222075
4,86,36745.36732558139,39272.98303297511,2527.6157073937125,1745.9545477635984,0.09243442153869956,3382.22311400904,-87.79589931132247,35909.09,37500.0,31499.29479851988,50071.92327725828,0.06878732997816671
5,85,38593.30529411764,39377.554280987104,784.2489868694491,805.267408389489,0.0766429302256068,2951.0871080309935,-38.17362864892869,37591.24,39545.45,31838.29824973272,49597.451232179694,0.020320855674131225
6,86,40728.29279069767,40839.083390231994,110.7905995343257,178.51360491253217,0.07406695667037304,3008.1920858958824,-27.716482202296454,39545.45,41900.0,32602.25299745345,49371.58098459104,0.002720236767685736
7,85,42908.28541176471,41485.94849350693,-1422.3369182577746,-1476.9306417583794,0.07127056071091649,3058.9782086412797,-45.30535371534005,41903.23,44000.0,31365.747111771165,50498.28488712177,-0.03314830468308096
8,86,45567.827209302326,43187.232181607156,-2380.5950276951753,-2364.1697128084124,0.0882883864283893,4030.5497817920345,-33.65670263656218,44000.0,47222.22,32383.490818568687,54445.60732776972,-0.0522428909493669
9,85,49246.57764705882,44273.61213783412,-4972.9655092246985,-4982.968503117911,0.10918554979507587,5391.451662860988,-24.55679129379865,47222.22,51454.55,35211.0625275373,51771.98703037166,-0.10098093607367054
10,86,57616.47953488372,47090.31662280745,-10526.162912076274,-10083.200392671697,0.18703913452063467,10853.542462047168,-5.045438101872249,51500.0,73636.36,34443.23188165317,67542.80492025871,-0.18269361469235967
