segment_col,segment_value,rows,actual_mean,pred_mean,mean_bias,abs_bias,mape,r2,pred_variance,actual_variance,variance_ratio
district,Seymen Mah.,9,46479.49111111111,43932.80130930983,-2546.6898018012807,7234.053015572497,0.14985318360010166,-0.6424827980866434,25989426.786421236,65457074.75368611,0.39704534436069777
district,Kullar Tepecik Mh.,10,39008.367,38429.72223362666,-578.6447663733419,4788.3793363667155,0.12473817749702432,-0.43961980939932643,15727726.209266484,31767270.663978882,0.49509214611566416
district,Aydınkent Mh.,19,38468.481052631585,39991.85687794648,1523.375825314899,4935.34313080068,0.1227214275819701,-0.1601663690365167,35210094.99002233,44667241.15887661,0.7882755701160002
m2_group,200+,39,38448.00692307693,36647.9715385178,-1800.0353845591255,6788.058884645727,0.1694056111984377,-0.030620808870506666,14551604.042688195,80560888.11900608,0.18062864477353188
building_age_group,26-30 arası,15,32248.024,32616.92309357503,368.89909357502887,4060.967030068926,0.1296377893665622,-0.019804099884948023,5689617.335780457,26893383.410582867,0.21156197600416185
district,Bahçecik Kılıçaslan Mh.,11,42323.780909090914,41030.09517503273,-1293.6857340581819,6688.34280146437,0.1647286720553124,-0.014349504748762287,30718398.202320315,76796639.7223891,0.3999966445584565
building_age_group,3,24,43513.017499999994,41503.14331886426,-2009.8741811357431,5241.159436504418,0.11993832368690689,0.007751414736896223,18523333.10894358,47676327.21555871,0.3885226524516903
building_age_group,16-20 arası,11,36755.53090909091,35221.982453163444,-1533.548455927465,5508.284890204044,0.13213032699128616,0.0648733281299062,12876465.08152445,75529252.05092908,0.1704831536375059
attr_total_quality_bucket,q1_low,34,33009.60117647059,32920.891125516646,-88.71005095394663,4827.370294169735,0.140645982571238,0.06630655776049255,12216005.42438883,51381564.9424107,0.23775074655823988
district,Havuzlubahçe Mh.,9,31611.482222222217,31957.445389331093,345.9631671088739,2511.194161380153,0.07899126036022795,0.08185183875892399,959368.9152138219,12047025.733369444,0.07963533377009689
room_count,4+1,73,38120.80041095891,37070.725009924485,-1050.0754010344147,6058.417316144144,0.1576966848995235,0.14291277042442352,15998870.945800211,76788058.76527621,0.20835102753027204
building_age_group,4,17,41117.99823529412,41228.716445390026,110.71821009591162,6879.573169762674,0.15968741655647709,0.18532798255601324,20001540.961648162,112751899.67032792,0.17739427025291904
building_age_group,5,36,43599.10083333333,40751.74335741687,-2847.357475916453,5991.641839432077,0.1297658472762563,0.18751287650064763,24353371.86688259,82639519.652625,0.2946940152756444
building_age_group,0 (Yapım Aşamasında),78,40681.003333333334,40360.83717651284,-320.16615682048894,4442.808215829255,0.10833748595402132,0.22285007075182817,17073993.12534876,50262946.9772251,0.3396934352672406
is_large_flat,1,194,38526.08525773196,37997.834569864164,-528.2506878677959,5382.643848629354,0.13827001520640586,0.23961226388498724,22083081.78478416,68768650.94267894,0.3211213464575767
district,Barbaros Mah.,94,40902.6,40604.64325712097,-297.95674287902125,4868.664245532774,0.11774400547125786,0.2914256474463842,20567321.197196323,61946192.94525593,0.3320191317547537
m2_group,151-200,148,38497.52864864865,38199.096947818936,-298.4317008297115,5032.946415546545,0.12922770718663498,0.29218405009623083,20998367.138704214,64085286.27206755,0.3276628436917296
