site_inside,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Evet,97,0.14294613247490404,0.12558057860866836,6274.761994118359,5465.025630462136,43850.9218556701,43370.29128448347
Hayır,186,0.11973169637611097,0.09409266095249653,4814.340781600427,3906.993612292994,40018.3335483871,39895.05690409332
