district,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
Körfez Mh.,2,6.5,6.5,0,0,0.7257481033590689,28606.835
Yeşilkent Mh.,2,6.5,6.5,0,0,0.7465884100069959,29025.0
Yeniköy Merkez Mh.,3,5.0,0.0,0,0,0.9538552804381194,39562.27333333334
Kullar Tepecik Mh.,1,5.0,5.0,0,0,1.0331586705714202,40681.82
Barbaros Mah.,15,2.533333333333333,0.0,0,0,1.0243358993400096,43556.21666666667
Döngel Mh.,6,2.5,2.5,0,0,1.1385786127858042,45099.60666666667
Atakent Mah.,2,2.5,2.5,0,0,1.121485183264372,46964.285
Fatih Mah.,14,2.357142857142857,0.0,0,0,1.0357482913950635,42129.13428571429
Paşadağ Mh.,15,1.6666666666666667,0.0,0,0,1.0238771740412738,46270.58666666667
Kullar Yakacık Mh.,3,1.6666666666666667,0.0,0,0,0.9983447557220686,38989.89666666667
Yaylacık Mh.,3,1.6666666666666667,0.0,0,0,0.9664759367895777,42982.07666666667
Yeşilyurt Mh.,179,1.5921787709497206,0.0,1,0,1.0104811018747775,41699.43927374302
Serdar Mah.,31,1.3548387096774193,0.0,0,0,0.9739544188158114,37028.90516129033
Aydınkent Mh.,2,0.0,0.0,0,0,0.8143483580957196,30921.72
Damlar Mah.,2,0.0,0.0,0,0,0.9535044982584937,42944.71
Altınkent Mh.,1,0.0,0.0,0,0,0.8842822180132575,37000.0
Havuzlubahçe Mh.,1,0.0,0.0,0,0,0.8419743353687972,34375.0
Mahmutpaşa Mh.,1,0.0,0.0,0,0,1.1068798009353833,43461.54
