site_project_id,n_listings,known_premium
missing,206,0
mamik_reform,6,0
alizepark_city,5,1
mamik_life,4,1
orka_life,3,0
akademik_elit_park,2,0
bulvar,2,0
teras_marmara,2,0
panoramakent_2,2,0
royal_life,2,1
panoramakent_3,2,0
duru_park,2,0
zeray_gunesi,2,1
ustpark_afraze,2,0
cb_mahall_den_tinaztepede,1,0
bahcekent_konutlari,1,0
aydinkent_kalici_konutlari_19_ada,1,0
basiskele_de_asev_muhit,1,0
barbaros_mah,1,0
basiskele_de_butik,1,0
aydinkent_kalici,1,0
asansorlu_butik,1,0
anatolia,1,0
kucuk_yali,1,0
kuba,1,0
kirazli_kent,1,0
iskar_elit_kent,1,0
gun_isigi,1,0
evimiz_kocaeli,1,1
erenoglu_gm_den,1,0
emar_delux_yuvacik,1,0
clover_premium,1,0
cevizli_vadi,1,0
my_yaka,1,0
my_house_yuvacik,1,0
kullar_yakacik_ta_kacirilmayacak_butik,1,0
orka_life_2,1,1
merkezde_essiz_bir,1,0
marmara_elit,1,0
pasadag_100_yil_parla,1,0
panoramakent_1,1,0
terra_nova,1,0
terasta_life,1,0
yakamoz_konutlari,1,0
yakut_konaklari,1,0
yaylacik_mh_de_havuzlu,1,0
torpidocular,1,0
yesilyurt_mahallesin_de,1,0
yuksek_giris_butik,1,0
yuvacik_kalici_konutlari_1_ada,1,0
yuvacik_kalici_konutlari_10_ada,1,0
yuvacik_ta_prestijli,1,0
yuvacikta,1,0
zeray_perla,1,1
zeraykent_yuvacik,1,0
