floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Bahçe,16,0.15196621925429918,0.1256293631803349,6494.950258367768,5129.997940006404,42224.179375,41132.40041909439
Çatı,11,0.14393275544890274,0.11372352714388075,5544.594546375928,5117.558721474634,38381.81909090909,38030.455723152714
Ara Kat,162,0.12681096243013723,0.10336358417324591,5372.1561348443065,4070.94845064334,42332.30777777778,42125.06440478086
Zemin/Giriş,45,0.1235914996310986,0.10306445879427234,4881.109676252423,3443.8972184063896,39923.144,40563.67504787562
En Üst Kat,49,0.12277871757008059,0.10823215666015021,5087.149497693965,4406.595413586787,39689.535510204085,38802.44098708494
