model,mape,mae_tl_per_m2,median_ae_tl_per_m2,r2
extra_trees_fe,0.13843364737201042,5280.519484180367,4155.34658199725,0.5871272021736931
gradient_boosting_tuned_fe,0.14193523307884448,5429.922205975689,4433.928975604553,0.581358202783673
hist_gradient_boosting_fe,0.14228351158864838,5425.194282217983,4330.344846185239,0.5698108649048013
gradient_boosting_fe,0.14588214627299073,5576.696449334256,4727.2390242515285,0.5660460927039888
ridge_fe,0.15374494877089856,5883.486641952061,4952.232601419017,0.5222850725762023
elasticnet_fe,0.16218257196091287,6223.436552247556,5068.764567075865,0.46908732712075696
