district,building_age_group,m2_group,n,mape,mae
Dereköy Mh.,6-10 arası,200+,1,0.9332538237667583,17554.056463217315
Tepeköy Mh.,31 ve üzeri,76-100,1,0.5293712402060224,14381.253790167742
Kayacık Mh.,31 ve üzeri,126-150,1,0.4477019756916199,10446.377940464547
4 Temmuz Mah.,4,76-100,1,0.44569816697289455,14419.646054184039
Ereğli Mh.,16-20 arası,101-125,1,0.4447199787797633,12985.82338036909
Dereköy Mh.,11-15 arası,200+,1,0.4374647073394912,18248.529666724666
Kayacık Mh.,26-30 arası,200+,2,0.42931876959077586,25990.706398482267
4 Temmuz Mah.,21-25 arası,126-150,1,0.37273192807880484,7592.687285778644
Kayacık Mh.,2,151-200,1,0.34464943799338327,24835.03181546637
Kayacık Mh.,16-20 arası,126-150,2,0.3374336759141391,10395.481250236799
Kayacık Mh.,3,126-150,1,0.33391718369579626,24401.639319563008
4 Temmuz Mah.,4,200+,1,0.3039834510161325,10740.747589291845
4 Temmuz Mah.,21-25 arası,101-125,4,0.3022478635630663,7356.537688724311
4 Temmuz Mah.,1,0-75,1,0.3013620158962411,20693.526096081943
Kayacık Mh.,11-15 arası,200+,3,0.29818163922235663,10860.585669272536
Tepeköy Mh.,6-10 arası,151-200,1,0.29475333689037625,18106.27598790406
Dereköy Mh.,16-20 arası,126-150,1,0.2874681568817243,7290.859384644493
Kayacık Mh.,6-10 arası,200+,1,0.28522870956330454,9873.30016844342
Kayacık Mh.,31 ve üzeri,76-100,4,0.2762012502041714,9398.83718726298
Ereğli Mh.,21-25 arası,0-75,2,0.2749170672935077,17973.07156421712
4 Temmuz Mah.,0 (Oturuma Hazır),0-75,1,0.2733996510920267,17543.145189737217
Dereköy Mh.,11-15 arası,151-200,1,0.26692557347832707,7232.820871660329
Dereköy Mh.,11-15 arası,76-100,1,0.26268994505574234,7005.066077119613
4 Temmuz Mah.,31 ve üzeri,126-150,15,0.26177692722044255,7757.660495488127
Kayacık Mh.,16-20 arası,151-200,3,0.2484135404454995,10515.700550025293
4 Temmuz Mah.,5,101-125,1,0.24593063800400414,13321.24371165235
4 Temmuz Mah.,26-30 arası,76-100,5,0.2445894077824406,7630.232354601254
Kayacık Mh.,21-25 arası,76-100,2,0.23849531643239638,9535.71561304568
Yalakdere Mh.,16-20 arası,101-125,1,0.23605403591722482,13197.566338959354
4 Temmuz Mah.,6-10 arası,151-200,6,0.23179704450131486,10820.135832942316
Ereğli Mh.,31 ve üzeri,101-125,1,0.22631211464134146,10410.357273501708
Kayacık Mh.,5,0-75,1,0.21714687404929287,14476.45899377577
Kayacık Mh.,6-10 arası,76-100,2,0.21672120453834293,10252.360907314782
Ereğli Mh.,0 (Oturuma Hazır),126-150,2,0.2147446066248912,10881.68578900156
4 Temmuz Mah.,31 ve üzeri,0-75,3,0.21338053717183927,7740.517678225474
Kayacık Mh.,11-15 arası,151-200,3,0.21219923959011014,7264.073562805861
Kayacık Mh.,26-30 arası,76-100,4,0.201400442950625,7041.791144577411
4 Temmuz Mah.,4,151-200,1,0.2003624243293577,7012.68485152752
Kayacık Mh.,1,151-200,1,0.18986072374804175,8313.42771354103
Kayacık Mh.,31 ve üzeri,101-125,11,0.18512730520193263,5497.521778906136
Kayacık Mh.,26-30 arası,101-125,3,0.18360217506389612,7878.39793833521
4 Temmuz Mah.,0 (Yapım Aşamasında),101-125,1,0.1654441112856938,8134.336023026983
4 Temmuz Mah.,6-10 arası,76-100,3,0.1638828806092196,7945.4205762779575
Kayacık Mh.,26-30 arası,151-200,1,0.15980979005540358,4794.293701662107
4 Temmuz Mah.,1,76-100,3,0.15935123953097027,7852.12843600068
4 Temmuz Mah.,6-10 arası,200+,6,0.15721294997995158,5461.6595778808305
4 Temmuz Mah.,6-10 arası,101-125,7,0.15532803179582455,5744.261401836183
Kayacık Mh.,6-10 arası,101-125,4,0.15512046935668686,9332.768669023135
4 Temmuz Mah.,31 ve üzeri,101-125,19,0.15253807176036152,3726.6799120574556
Dereköy Mh.,26-30 arası,151-200,1,0.15201941051648177,4480.7721249733
4 Temmuz Mah.,6-10 arası,126-150,8,0.1517183732186981,4727.453009650685
Kayacık Mh.,16-20 arası,101-125,3,0.1489331668610205,4869.152263341519
Avcıköy Mh.,21-25 arası,76-100,1,0.1479105238519986,7559.8710547571245
Ereğli Mh.,0 (Yapım Aşamasında),0-75,2,0.1458954497902089,6872.205842438565
Dereköy Mh.,11-15 arası,126-150,3,0.14407268736780507,4910.424131600499
Kayacık Mh.,11-15 arası,101-125,5,0.14377361779592412,7596.166127422524
4 Temmuz Mah.,31 ve üzeri,76-100,14,0.13356316474349508,3810.8772828906854
4 Temmuz Mah.,11-15 arası,76-100,6,0.1312731307139253,6116.570939860394
4 Temmuz Mah.,3,76-100,2,0.12948988619823304,5432.001894803769
4 Temmuz Mah.,26-30 arası,126-150,9,0.12832356819736124,2566.6223822793563
Kayacık Mh.,21-25 arası,126-150,2,0.1260990483858218,4286.0584294197415
4 Temmuz Mah.,11-15 arası,126-150,3,0.12609597479010407,5352.140900281233
4 Temmuz Mah.,11-15 arası,200+,3,0.12280337771215165,3658.5843531094047
Kayacık Mh.,5,101-125,1,0.12201139687229165,6393.397196108082
4 Temmuz Mah.,2,151-200,1,0.11922774553218568,5402.507219427163
4 Temmuz Mah.,11-15 arası,101-125,5,0.11845608259237853,5898.611561367112
Ereğli Mh.,11-15 arası,200+,1,0.11335314450208377,5188.086141939108
Kayacık Mh.,31 ve üzeri,0-75,1,0.11243423694503729,4872.149892837493
4 Temmuz Mah.,0 (Oturuma Hazır),76-100,3,0.11206137369698876,6775.200583987365
Kayacık Mh.,5,76-100,1,0.11126391785152952,4843.252698365548
Kayacık Mh.,16-20 arası,200+,1,0.10959155783712375,3949.8627623515276
Kayacık Mh.,11-15 arası,76-100,4,0.10944103875597729,4296.579253219625
Kayacık Mh.,0 (Oturuma Hazır),0-75,6,0.10931502114401516,5151.046966100651
4 Temmuz Mah.,5,76-100,1,0.10796121645055333,5398.0608225276665
4 Temmuz Mah.,31 ve üzeri,151-200,3,0.10764168636063992,2678.401375080442
Kayacık Mh.,11-15 arası,126-150,2,0.10675683330925104,4191.3077988394325
Kayacık Mh.,0 (Oturuma Hazır),101-125,3,0.10601281007044429,4992.005555540888
Kayacık Mh.,0 (Oturuma Hazır),151-200,4,0.10551078081114842,7591.202748488586
Kayacık Mh.,0 (Oturuma Hazır),126-150,7,0.1050128774421564,6679.084015067949
4 Temmuz Mah.,26-30 arası,101-125,5,0.1035594634378684,3491.797019823104
4 Temmuz Mah.,0 (Oturuma Hazır),151-200,2,0.10171485205276612,4635.700775716017
Kayacık Mh.,0 (Oturuma Hazır),76-100,5,0.09653089060145188,4880.392668754944
4 Temmuz Mah.,11-15 arası,151-200,6,0.09116801667576883,3623.989949466047
Kayacık Mh.,0 (Yapım Aşamasında),101-125,4,0.08971865591165457,4147.054465179208
Ereğli Mh.,0 (Oturuma Hazır),76-100,6,0.08837763403612918,4288.708308267035
Kayacık Mh.,6-10 arası,151-200,4,0.08774494791399326,5738.524060560445
Ereğli Mh.,0 (Yapım Aşamasında),76-100,5,0.08566977149734126,4412.399890282392
4 Temmuz Mah.,0 (Oturuma Hazır),101-125,7,0.08407095960380058,4385.007157005064
Kayacık Mh.,26-30 arası,126-150,3,0.08224383987383474,3404.384311798892
Ereğli Mh.,16-20 arası,126-150,1,0.08217337176855388,2939.278234664911
Dereköy Mh.,6-10 arası,151-200,1,0.07301096729571367,2339.626955565396
4 Temmuz Mah.,0 (Yapım Aşamasında),76-100,2,0.07167847094178971,3847.3475567842142
Kayacık Mh.,4,76-100,1,0.06737106614818325,3080.9940594795335
Ereğli Mh.,26-30 arası,76-100,2,0.06595779960797195,3040.747475453194
4 Temmuz Mah.,0 (Yapım Aşamasında),0-75,2,0.06299497772257874,3149.7482729133735
Ereğli Mh.,11-15 arası,101-125,1,0.06209797460266959,2707.471692676394
Dereköy Mh.,6-10 arası,126-150,2,0.06062916441176555,2002.7800958472035
Tepeköy Mh.,0 (Oturuma Hazır),76-100,2,0.05859834783455122,2384.1271003229012
4 Temmuz Mah.,2,76-100,1,0.057979491599625316,2254.758071073753
Ereğli Mh.,11-15 arası,151-200,1,0.05582179294190667,2430.949209533399
4 Temmuz Mah.,26-30 arası,151-200,2,0.051750069739724965,1530.5063474425042
Kayacık Mh.,21-25 arası,101-125,1,0.050066926251899374,1877.5097344462265
Kayacık Mh.,1,0-75,3,0.0464058602540669,2290.9541086161166
Ereğli Mh.,0 (Oturuma Hazır),200+,3,0.04418500799462446,1649.6890129714618
Ereğli Mh.,1,126-150,1,0.04312785746919572,1696.3622500288402
4 Temmuz Mah.,16-20 arası,151-200,1,0.036308978076797505,1548.4711665798677
Kayacık Mh.,0 (Yapım Aşamasında),76-100,1,0.020636173233707325,1096.2967030407017
Tepeköy Mh.,21-25 arası,0-75,1,0.01493045455265223,646.9863141800815
Kayacık Mh.,6-10 arası,126-150,1,0.011850792843433326,513.5343170461347
Ereğli Mh.,0 (Oturuma Hazır),151-200,1,0.0022711526046085054,102.20186720738275
4 Temmuz Mah.,4,101-125,1,0.0007442774904015206,30.701446479062724
