room_count,n,mape,mae
4.5+1,1,0.9332538237667583,17554.056463217315
4.5+2,1,0.3648302762807631,22801.892267547693
6+2,1,0.28522870956330454,9873.30016844342
5+2,1,0.24840745990342245,7520.148332938665
2.5+1,1,0.21472141868274588,7684.765772303574
4+2,6,0.19928603362256556,7252.644703874382
4+1,27,0.17194892463378905,7652.215368122379
3+1,141,0.1689019470117618,6008.634606314559
3+2,2,0.16853977771180154,7673.082244949619
5+1,8,0.16153126668559162,6812.382991506766
1+1,13,0.15364002626877035,7738.824198472955
2+1,118,0.13997474403108562,5731.773768465517
5.5+1,1,0.10959155783712375,3949.8627623515276
3.5+1,3,0.08618826072638679,2708.2512641210947
6+1,3,0.06520004502491679,2168.9656729757953
2+2,1,0.05582179294190667,2430.949209533399
