heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.219873181709477,0.22017361192064427,9316.531832407625,5794.042534845172,36936.85,32374.48519344927
Yok,26,0.20842807145760792,0.17389432879004546,6836.510934964629,5560.54300545558,34610.45115384615,33491.5965652147
Doğalgaz Sobası,45,0.1826272651311039,0.16413065307433758,5574.30255335358,4209.554115934119,29016.16688888889,27843.853350018067
Kombi (Elektrik),12,0.15133723948303177,0.13916726794049744,6728.479894591569,5386.861230717084,39483.42083333334,38397.23060498235
Klima,7,0.1426360344332646,0.0991970797314058,4765.845240795834,3835.9899301910045,32086.58714285714,31482.468054995436
,18,0.13144540729860166,0.11584611060433904,5615.713412058703,5310.706270259721,42992.14388888889,41368.094622110046
Kombi (Doğalgaz),3871,0.1312735874039526,0.10475613417046171,4670.334496701006,3619.3198604547106,36411.337104107464,36229.553202765666
Kat Kaloriferi,26,0.12271257973046415,0.10161188264540641,4281.437520225689,3902.392671894924,35067.71076923077,35003.43273219959
Merkezi,209,0.12123991401643774,0.09127781225208981,4416.764700604028,3615.440497498508,37981.59133971292,37097.394875327744
Merkezi (Pay Ölçer),331,0.1109956433137406,0.0782674155540719,5180.469738049713,3386.8793542821077,45494.26628398792,44595.95206341283
Yerden Isıtma,2115,0.09804465622219767,0.07651192643555699,4066.526794246696,3002.627111330621,40547.94645390071,39910.777273499945
VRV,2,0.09576108104520645,0.09576108104520645,7640.730450807099,7640.730450807099,71051.59,64310.40366718177
