m2_group,n,mape,mae
200+,23,0.23392611773363275,8644.02305053381
126-150,65,0.17473751661144102,5898.9836083913715
101-125,89,0.15164872297475687,5536.403693399891
76-100,83,0.1480549451318902,5784.216404489518
151-200,45,0.14705617462665294,6673.103691683245
0-75,23,0.1444407626647674,7618.391956646927
