district,n,mape,mae
Dereköy Mh.,12,0.24719241460509875,6907.380344200085
Yalakdere Mh.,1,0.23605403591722482,13197.566338959354
Tepeköy Mh.,5,0.19125034546363068,7580.554058579537
Kayacık Mh.,113,0.16106744057565966,7079.637019952724
4 Temmuz Mah.,166,0.1592287862095046,5543.988032035056
Avcıköy Mh.,1,0.1479105238519986,7559.8710547571245
Ereğli Mh.,30,0.11746923065435456,5624.642257735675
