decile,n,mean_actual,mean_pred,mean_bias
0,96,28835.90302083333,33934.22624272565,5098.323221892315
1,93,32529.09139784946,36341.91464122241,3812.8232433729518
2,95,34792.97578947368,36902.82176978259,2109.8459803089067
3,94,36624.17212765957,38969.18120235341,2345.0090746938367
4,95,38451.393052631574,39324.478269067346,873.0852164357674
5,93,40679.691720430106,40449.17605976528,-230.5156606648248
6,95,42821.69,41423.78639234025,-1397.9036076597636
7,94,45472.750744680845,42929.21252099885,-2543.538223681995
8,94,49160.314680851065,44661.23682805136,-4499.077852799711
9,95,57330.64536842106,46958.13948885515,-10372.505879565884
