site_inside,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Belirtilmemiş,1,0.4769813323760612,0.4769813323760612,11413.481200453847,11413.481200453847,23928.57,35342.05120045385
Evet,385,0.11765093487650811,0.09583186577438496,4971.454205219662,3936.0322749685074,42168.258181818186,41614.71011800569
Hayır,530,0.10337706517440785,0.0836687320648919,4191.726211619113,3245.256519054994,40022.29345283019,39642.173896499844
,3,0.07411111793754832,0.0859467329238815,3186.0439435239095,4297.336646194075,44908.426666666666,41723.06520808998
