m2_group,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
200+,43,0.15632254768766113,0.143857641348624,6255.450926381117,4695.511680140651,38271.07372093023,37672.70051662744
151-200,157,0.12085317247487425,0.09641240781231482,4658.670872772157,3691.164779723753,38226.67821656051,37987.68248943927
126-150,210,0.11867551521264318,0.10559935147582021,4689.404572427366,3997.114518888695,39304.85638095238,39199.332206665524
0-75,36,0.11569501931928278,0.10564650267423406,6581.317202598377,5885.630639211864,53737.835,50246.61943462059
101-125,242,0.10017107168860806,0.07933165560566033,3969.652742246423,3158.1922315469455,39855.12661157025,39763.938380859734
76-100,231,0.09420204886650828,0.07541463698515333,4215.76759399215,3413.583029272042,43828.92463203463,43051.61637718931
