m2_group,n,mape,mae
200+,23,0.2382942814197416,8795.85404402994
126-150,65,0.173753928642291,5904.129396948353
101-125,89,0.1491930039913438,5455.169967103745
76-100,83,0.14659918580392867,5739.758793621081
151-200,45,0.14519735620916088,6534.307227939267
0-75,23,0.14023599912777315,7386.040046195108
