building_age_group,n,mape,mae
16-20 arası,14,0.2230703926707687,7881.467169977317
21-25 arası,14,0.21962442573883625,7877.882188987082
3,3,0.2030544620817755,12016.507215896969
4,5,0.2016750885682303,6969.648197409976
31 ve üzeri,73,0.19063713661516501,5552.813502381664
2,3,0.1830004800905413,11201.074155656674
6-10 arası,47,0.1735641577238328,6985.766236441336
26-30 arası,37,0.15673341291793322,5676.143461903984
5,5,0.15428026821830962,8577.296373067971
11-15 arası,49,0.14656816786748658,5879.593998458957
1,9,0.12681859867431872,6697.886254882046
0 (Oturuma Hazır),52,0.09928933009908422,5352.97540989317
0 (Yapım Aşamasında),17,0.08734753587686733,4320.472863199592
