rows,r2,log_r2,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,slice
6667,0.6358656162289547,0.6545932421064348,0.12003687930512741,0.09242035603858913,4511.7582470511425,3392.0848314765135,all_rows
6662,0.6361446555148196,0.6548870405597809,0.11985326307064571,0.0923695632402981,4507.617920187598,3389.8250633057905,score_lt_25
6667,0.6358656162289547,0.6545932421064348,0.12003687930512741,0.09242035603858913,4511.7582470511425,3392.0848314765135,score_lt_45
5,-1.6091468346690618e-06,0.0015070569101619524,0.364687150128541,0.4143908008349487,10028.329760036895,8080.6206162815,score_gte_25
