heating,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Soba,5,0.21805406406173575,0.21024012754622093,9267.449053512388,5532.635046079566,36936.85,32273.09326175911
Yok,26,0.21137202243699404,0.18268901504778645,6856.4341565175855,5387.9972696219975,34610.45115384615,33577.38344979174
Doğalgaz Sobası,45,0.1811258440276455,0.15882593234725653,5522.75828920274,4081.904532890945,29016.16688888889,27875.384341121226
Kombi (Elektrik),12,0.14966454992785538,0.14255236735330298,6684.234709206969,5304.16570409013,39483.42083333334,38370.3012636346
,18,0.13548571410663007,0.12537896734504747,5756.745765806135,5561.08465283702,42992.14388888889,41356.84132392428
Kombi (Doğalgaz),3871,0.13146723380530848,0.10354397806675944,4670.243513232649,3589.4004751433094,36411.337104107464,36253.16601135993
Klima,7,0.12997184196215888,0.08151515926872396,4380.913780880676,3501.013962593319,32086.58714285714,31321.415161253786
Kat Kaloriferi,26,0.12256608456876567,0.09909785846372487,4259.233672554006,3989.784109525661,35067.71076923077,35083.798958204425
Merkezi,209,0.12114559298032813,0.08865142784655285,4402.765058692514,3537.820642204242,37981.59133971292,37150.9690498528
Merkezi (Pay Ölçer),331,0.11026970412998228,0.07767742403526293,5133.370512899128,3203.1970621551736,45494.26628398792,44588.131961049185
VRV,2,0.0981170724727091,0.0981170724727091,7811.44712644265,7811.44712644265,71051.59,63240.14287355735
Yerden Isıtma,2115,0.09753826604803126,0.07722214897993297,4051.094937814867,2987.208250038835,40547.94645390071,39875.55679657429
