slice,district,m2_group,building_age_group,room_count,site_inside,detail_effect_total_bucket,rows,r2,mape,mean_bias,actual_mean,pred_mean,variance_ratio
ALL_BASISKELE_LARGE_HOME,ALL,ALL,ALL,ALL,ALL,ALL,194,0.23961226388498724,0.13827001520640586,-528.2506878677959,38526.08525773196,37997.834569864164,0.3211213464575767
district,Aydınkent Mh.,,,,,,8,-0.7534049832921541,0.19467255555852847,1174.5629481489977,39983.75,41158.312948149,0.4119024817208232
district,Barbaros Mah.,,,,,,17,-0.1723230292158926,0.15582437487620251,-79.21866255719578,36816.03647058824,36736.817808031046,0.04880236209937791
district,Döngel Mh.,,,,,,9,0.36815611358097544,0.12867043522505664,684.6539977060214,32472.59888888889,33157.25288659491,0.2593002499367264
district,Fatih Mah.,,,,,,57,0.3558650577042306,0.13267786677225424,-390.4826172283283,37944.320877192986,37553.83825996465,0.28710359510223854
district,Paşadağ Mh.,,,,,,18,-0.15736836958671185,0.18151629844184985,-418.1049006553951,38682.602777777785,38264.49787712239,0.19679376625006142
district,Yeşilyurt Mh.,,,,,,46,0.3924498060746361,0.12085294022337104,-690.461567684078,41149.43760869565,40458.97604101157,0.3340397043352857
m2_group,,151-200,,,,,148,0.29218405009623083,0.12922770718663498,-298.4317008297115,38497.52864864865,38199.096947818936,0.3276628436917296
m2_group,,200+,,,,,39,-0.030620808870506666,0.1694056111984377,-1800.0353845591255,38448.00692307693,36647.9715385178,0.18062864477353188
building_age_group,,,0 (Oturuma Hazır),,,,64,0.05644592227997314,0.1250399128996576,881.6313655555502,36735.903437500005,37617.53480305555,0.3306328664536794
building_age_group,,,0 (Yapım Aşamasında),,,,13,-0.042019000396068096,0.16475179314747518,-243.76706638532946,36260.906923076924,36017.13985669159,0.1776105818467272
building_age_group,,,1,,,,11,0.2658445250627326,0.10014916231732786,-1809.9487176241937,38785.490909090906,36975.54219146672,0.17722437107275568
building_age_group,,,11-15 arası,,,,15,0.35655681565248987,0.14010650522114698,1398.136346257936,32942.50666666667,34340.6430129246,0.464910099415191
building_age_group,,,2,,,,9,-0.03163173904796235,0.13041908397071916,-764.6636336845339,38505.945555555554,37741.28192187102,0.4176835322945794
building_age_group,,,5,,,,17,-0.22446779807050032,0.14208438021123312,-3087.7366902083336,43780.63764705883,40692.90095685049,0.204398638146179
building_age_group,,,6-10 arası,,,,50,0.39006572813838203,0.14686393416574708,-419.1299126242554,39841.1328,39422.00288737575,0.3883793188235122
room_count,,,,3+1,,,104,0.277373374678343,0.12355020935697886,-92.37940903842869,38592.842884615384,38500.46347557695,0.3397046778613111
room_count,,,,4+1,,,73,0.14291277042442352,0.1576966848995235,-1050.0754010344147,38120.80041095891,37070.725009924485,0.20835102753027204
site_inside,,,,,Evet,,114,0.26082424588367514,0.13980624304661826,-733.5137966245592,40337.38105263157,39603.86725600702,0.32738779330427864
site_inside,,,,,Hayır,,79,0.027867878830814652,0.13677042714280976,-198.89041414375555,35911.74265822785,35712.8522440841,0.20513214868369398
detail_effect_total_bucket,,,,,,q1_low,35,-0.05714720522989403,0.14483142352761164,-685.1560371686512,37398.595142857135,36713.439105688485,0.20324112378154055
detail_effect_total_bucket,,,,,,q2,19,0.10120864241835159,0.14996349865614556,369.39854880156685,36797.021052631586,37166.419601433154,0.2610261785922023
detail_effect_total_bucket,,,,,,q3,19,0.3892195172631475,0.06512656407987383,-285.3732161336095,37190.27263157895,36904.89941544534,0.7125953160839175
detail_effect_total_bucket,,,,,,q4,35,0.2304134213679464,0.1439606526485058,2530.2649154073824,35548.61857142856,38078.883486835955,0.698433361970225
detail_effect_total_bucket,,,,,,q5_high,86,0.22833789627853984,0.14685987316156113,-1961.1154128534786,40873.831162790695,38912.71574993722,0.2748351770403632
