floor_segment,n,mape,median_ape,mae_tl_per_m2,median_ae_tl_per_m2,mean_actual_unit_price,mean_predicted_unit_price
Bahçe,67,0.14353050637287423,0.13423067246066353,6141.470436368986,5651.730616413144,41418.09552238806,39072.0390951489
En Üst Kat,163,0.1279412282744356,0.0907881606815836,5018.225695151702,3516.2864226629026,38676.08797546012,38059.98150056682
Çatı,31,0.11526496557248532,0.10072389316078949,4612.333239752249,3926.788489107028,38903.83903225807,37470.75357818669
Ara Kat,517,0.10848115980493675,0.09567779947289877,4669.127418635275,3873.7650083217086,42414.60651837524,41803.030452147264
Zemin/Giriş,141,0.09625919136972516,0.0668665642227553,3594.2689485860797,2543.7087026304725,38238.74794326241,38992.18065725762
