county,feature,group,positive_count,negative_count,local_effect,global_effect,smoothed_effect,reliability_level
Başiskele,front_east,front,413,,-0.014969660555862241,-0.014969660555862241,-0.014969660555862241,county
Başiskele,front_north,front,287,,0.024832370425939665,0.024832370425939665,0.024832370425939665,county
Başiskele,front_score,front,633,,0.005645882629599974,0.005645882629599974,0.005645882629599974,county
Başiskele,front_south,front,433,,-0.014883801788737827,-0.014883801788737827,-0.014883801788737827,county
Başiskele,front_west,front,405,,-0.0013591267745978186,-0.0013591267745978186,-0.0013591267745978186,county
Başiskele,in_air_conditioner,inside,36,,0.07250617537197979,0.07250617537197979,0.07250617537197979,county
Başiskele,in_builtin_kitchen,inside,179,,0.04771978475130734,0.04771978475130734,0.04771978475130734,county
Başiskele,in_dressing_room,inside,49,,0.01889303029818734,0.01889303029818734,0.01889303029818734,county
Başiskele,in_fiber,inside,285,,0.016623410197712296,0.016623410197712296,0.016623410197712296,county
Başiskele,in_glass_balcony,inside,56,,0.04881500082487378,0.04881500082487378,0.04881500082487378,county
Başiskele,in_heat_glass,inside,407,,0.018467134444906996,0.018467134444906996,0.018467134444906996,county
Başiskele,in_intercom,inside,305,,0.03553890848076868,0.03553890848076868,0.03553890848076868,county
Başiskele,in_laminate_floor,inside,429,,0.006139254004533078,0.006139254004533079,0.006139254004533078,county
Başiskele,in_pantry,inside,56,,-0.010885278282839472,-0.010885278282839472,-0.010885278282839472,county
Başiskele,in_parent_bathroom,inside,184,,0.05841045616600127,0.05841045616600127,0.05841045616600127,county
Başiskele,in_pvc,inside,309,,0.005495311842448558,0.005495311842448558,0.005495311842448558,county
Başiskele,in_smart_home,inside,26,,0.07505784569505458,0.07505784569505458,0.07505784569505458,global_fallback
Başiskele,in_steel_door,inside,518,,0.01651921914114851,0.01651921914114851,0.01651921914114851,county
Başiskele,in_terrace,inside,116,,-0.031634828887295185,-0.031634828887295185,-0.031634828887295185,county
Başiskele,near_city_center,nearby,390,,-0.01326408079976904,-0.01326408079976904,-0.01326408079976904,county
Başiskele,near_hospital,nearby,540,,-0.00808296471103187,-0.00808296471103187,-0.00808296471103187,county
Başiskele,near_lake_zero,nearby,6,,0.02236394482019044,0.02236394482019044,0.02236394482019044,global_fallback
Başiskele,near_mall,nearby,378,,0.009817502345858209,0.009817502345858209,0.009817502345858209,county
Başiskele,near_market,nearby,600,,-0.012630276338760462,-0.01263027633876046,-0.012630276338760462,county
Başiskele,near_mosque,nearby,559,,-0.01418802146401621,-0.01418802146401621,-0.01418802146401621,county
Başiskele,near_park,nearby,506,,-0.008591038310906463,-0.008591038310906463,-0.008591038310906463,county
Başiskele,near_pharmacy,nearby,513,,0.006501532268697652,0.006501532268697652,0.006501532268697652,county
Başiskele,near_school,nearby,578,,-0.0181841178331279,-0.0181841178331279,-0.0181841178331279,county
Başiskele,near_sea_zero,nearby,19,,-0.007308879370703458,-0.007308879370703458,-0.007308879370703458,global_fallback
Başiskele,near_university,nearby,278,,-5.870947020891748e-05,-5.870947020891748e-05,-5.870947020891748e-05,county
Başiskele,out_camera,outside,259,,0.047829190551416545,0.047829190551416545,0.047829190551416545,county
Başiskele,out_children_playground,outside,239,,0.022565110168161873,0.022565110168161873,0.022565110168161873,county
Başiskele,out_closed_pool,outside,41,,0.18893638867347295,0.18893638867347295,0.18893638867347295,county
Başiskele,out_generator,outside,22,,0.11717274106710818,0.11717274106710818,0.11717274106710818,global_fallback
Başiskele,out_heat_insulation,outside,473,,0.015108373783998095,0.015108373783998097,0.015108373783998095,county
Başiskele,out_hydrofor,outside,29,,-0.037517174565583566,-0.037517174565583566,-0.037517174565583566,global_fallback
Başiskele,out_open_pool,outside,173,,0.13201743743749716,0.13201743743749716,0.13201743743749716,county
Başiskele,out_pool,outside,181,,0.12968648079277578,0.12968648079277578,0.12968648079277578,county
Başiskele,out_sauna_hamam,outside,68,,0.1455155908158181,0.1455155908158181,0.1455155908158181,county
Başiskele,out_security,outside,201,,0.09664319129459642,0.09664319129459642,0.09664319129459642,county
Başiskele,out_sound_insulation,outside,368,,0.012198226776370724,0.012198226776370724,0.012198226776370724,county
Başiskele,out_sports_area,outside,149,,0.08759498524236253,0.08759498524236253,0.08759498524236253,county
Başiskele,subtype_duplex,subtype,172,,-0.08793710264053178,-0.08793710264053178,-0.08793710264053178,county
Başiskele,subtype_garden_duplex,subtype,48,,-0.08055195087063804,-0.08055195087063804,-0.08055195087063804,county
Başiskele,subtype_middle_floor,subtype,372,,0.05877051002194911,0.05877051002194911,0.05877051002194911,county
Başiskele,subtype_reverse_duplex,subtype,9,,-0.0013591267745978186,-0.0013591267745978186,-0.0013591267745978186,global_fallback
Başiskele,subtype_roof_duplex,subtype,94,,-0.08378430820059002,-0.08378430820059002,-0.08378430820059002,county
Başiskele,subtype_top_floor,subtype,61,,0.02074217425800473,0.02074217425800473,0.02074217425800473,county
Başiskele,subtype_triplex,subtype,0,,0.0,0.0,0.0,global_fallback
Başiskele,transport_airport,transport,17,,-0.007308879370703459,-0.007308879370703458,-0.007308879370703459,global_fallback
Başiskele,transport_bus_stop,transport,526,,-0.027485636755135268,-0.027485636755135268,-0.027485636755135268,county
Başiskele,transport_e5,transport,219,,-0.020140622152199583,-0.020140622152199583,-0.020140622152199583,county
Başiskele,transport_main_road,transport,473,,-0.012290563636454088,-0.012290563636454088,-0.012290563636454088,county
Başiskele,transport_metro,transport,23,,-0.01889041580810158,-0.01889041580810158,-0.01889041580810158,global_fallback
Başiskele,transport_minibus,transport,459,,0.006501532268697652,0.006501532268697652,0.006501532268697652,county
Başiskele,transport_score,transport,612,,-0.012763799802805842,-0.012763799802805842,-0.012763799802805842,county
Başiskele,transport_tem,transport,53,,0.012809772652758511,0.012809772652758511,0.012809772652758511,county
Başiskele,transport_train,transport,19,,-0.007308879370703458,-0.007308879370703458,-0.007308879370703458,global_fallback
Başiskele,transport_tram,transport,17,,-0.07468797043628506,-0.07468797043628506,-0.07468797043628506,global_fallback
Başiskele,view_bosphorus,view,6,,-0.10535115624488256,-0.10535115624488256,-0.10535115624488256,global_fallback
Başiskele,view_city,view,363,,-0.005767211696609208,-0.005767211696609209,-0.005767211696609208,county
Başiskele,view_lake,view,2,,0.0,0.0,0.0,global_fallback
Başiskele,view_nature,view,392,,0.008572848902100638,0.008572848902100638,0.008572848902100638,county
Başiskele,view_park_green,view,429,,0.00856591440877974,0.00856591440877974,0.00856591440877974,county
Başiskele,view_pool,view,52,,0.12613867731448458,0.12613867731448458,0.12613867731448458,county
Başiskele,view_river,view,3,,-0.007308879370703459,-0.007308879370703458,-0.007308879370703459,global_fallback
Başiskele,view_score,view,604,,0.008954693739847919,0.008954693739847919,0.008954693739847919,county
Başiskele,view_sea,view,180,,-0.005180090103465318,-0.005180090103465318,-0.005180090103465318,county
