duplex_type,is_large_home,n,median,mean,p10,p90
garden,0,75,34671.53,35275.5832,29337.5,42112.030000000006
garden,1,25,34305.56,34380.0236,24266.668,45868.854
middle_floor,0,3,35483.87,37542.24333333334,34811.062,41096.774
none,0,53,41176.47,42035.635094339625,31724.64,54795.638000000006
none,1,2,38986.11,38986.11,33197.222,44774.998
roof,0,150,35500.0,36012.36526666667,30964.091,41924.32
roof,1,31,35054.95,35281.666774193545,28378.38,44791.67
standard,0,43,35416.67,37486.07558139535,30061.538,46684.904
standard,1,12,33357.645000000004,33188.60333333333,28449.954,38037.344000000005
