decile,n,mean_actual,mean_pred,mean_bias
0,40,27121.04,32354.9797454589,5233.9397454589
1,40,30657.44375,34081.918191716955,3424.474441716954
2,39,32489.05769230769,35078.20798891675,2589.150296609058
3,39,33940.85615384616,35745.365810863404,1804.5096570172516
4,41,35002.89707317073,35969.71761477812,966.820541607392
5,37,36072.75216216217,35464.74273862857,-608.0094235335947
6,40,37578.09625,37218.47048691009,-359.6257630899082
7,39,40351.253589743596,36770.645821919694,-3580.607767823894
8,39,43216.16717948717,39085.00242728377,-4131.164752203404
9,40,49885.950749999996,40198.39770220455,-9687.553047795447
