split,detail_duplex_count,title_duplex_count,detail_and_title_duplex_count,title_only_duplex_count,detail_only_duplex_count,conflict_count,roof_duplex_count,garden_duplex_count,middle_floor_duplex_count,generic_duplex_count
sale,259,325,232,80,14,13,181,100,3,55
rental,137,139,110,24,22,5,70,44,0,47
