metric,v21_reference,v23_current
sale_raw,,400.0
rental_raw,,300.0
sale_after_basic_filter,,396.0
rental_after_basic_filter,,294.0
sale_training_rows,,394.0
large_home_count_ge180,,70.0
large_home_share_ge180,,0.17766497461928935
duplex_count_sale,,339.0
