building_age_group,n,mean_anomaly_score,median_anomaly_score,high_risk_or_worse,exclude_candidate,median_price_to_baseline,mean_unit_price
16-20 arası,2,7.0,7.0,0,0,1.284733006568879,45520.835
11-15 arası,22,3.409090909090909,2.5,0,0,0.9250591535268173,33254.648636363636
5,14,2.5,2.5,0,0,1.0633776480008001,38960.61714285715
3,16,2.3125,0.0,0,0,1.0047794628321947,35618.425
1,23,2.0434782608695654,0.0,0,0,0.9817441794860011,38570.562173913044
2,20,1.5,0.0,0,0,1.0239763284472478,37719.042499999996
6-10 arası,55,1.4181818181818182,0.0,0,0,0.9420777912640841,35100.39636363636
0 (Oturuma Hazır),227,1.2599118942731278,0.0,0,0,0.9816353127672018,36826.224052863436
4,15,1.2,0.0,0,0,1.0007190375465553,37322.80466666667
